id,line,outcome,confidence,misfiled,layer,document,section,lots,field,states,zones,figure,condition,duplicates,fragment,note,text
M0002,2059,not_here,clear,True,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.275,2855,setback_front_ft,8.0,,8,"corner lot, main entrance on side-street facade",,"Fences up to 8 feet high are allowed in the required front building setback,","Corner-lot fence exception (C.3.c): fence height inside the front setback, not a front setback distance.","c. Fences up to 8 feet high are allowed in the required front building setback,"
M0002,2061,not_here,clear,True,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.275,2855,setback_rear_ft,8.0,,8,"corner lot, main entrance on side-street facade",,Fences up to 8 feet high are allowed in all other side or rear building setbacks.,"Corner-lot fence exception (C.3.d): fence height within side/rear setbacks, not a rear setback distance.",d. Fences up to 8 feet high are allowed in all other side or rear building setbacks.
M0003,559,not_here,inferred,False,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.140.txt,33.140.210,2855,max_height_ft,10.0 | 5.0,,10,"projection with width, depth or diameter of 5 ft or less",,"10 feet above the height limit, or 5 feet above the highest point of the roof, whichever is greater","Projection allowance (chimneys, flag poles, dishes) above the height limit; does not state the limit. We hold NO max height for EG2 or IG2 in this layer, but the base limit is in Table 140-3, not this line, so this line is not the place to take it from.","10 feet above the height limit, or 5 feet above the highest point of the roof, whichever"
M0003,562,not_here,clear,False,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.140.txt,33.140.210,2855,max_height_ft,4.0,,4,parapets and rooftop railings,,Parapets and rooftop railings may extend 4 feet above the height limit.,"Parapet/railing allowance above the height limit, not the building height limit.",2. Parapets and rooftop railings may extend 4 feet above the height limit.
M0003,566,not_here,clear,False,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.140.txt,33.140.210,2855,max_height_ft,16.0,,16,"elevator mechanical equipment, set back 15 ft from street-facing roof edges",,Elevator mechanical equipment may extend up to 16 feet above the height limit,"Rooftop mechanical exception, not the building height limit.",a. Elevator mechanical equipment may extend up to 16 feet above the height
M0003,569,not_here,inferred,False,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.140.txt,33.140.210,2855,max_height_ft,10.0,,10,other mechanical equipment and stairwell enclosures covering no more than 10% of roof area,,more than 10 percent of the roof area may extend up to 10 feet above the height limit.,Rooftop mechanical/stairwell-enclosure exception above the height limit (subject on L568). Not the building height limit.,more than 10 percent of the roof area may extend up to 10 feet above the height
M0004,1614,not_here,inferred,False,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.4,0,max_height_ft,25.0,,25,"or 2 stories, whichever is greater",,"1. Max height   25 ft or 2 stories, whichever is greater","Row of Table 19.505.4.B.1, the cottage cluster development standards (900 sf footprint, 1,400 sf average floor area, 'Number of Cottages Allowed'). Cottage cluster is a different housing type; the R-MD 35 / R-HD 45 we hold from 19.300 stay the standard for an attached fourplex.","1. Max height 25 ft or 2 stories, whichever is greater 25 ft or 2 stories, whichever is greater"
M0004,1615,not_here,inferred,False,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.4,0,max_height_ft,10.0 | 15.0,,15,structure between 5 and 10 ft of rear lot line,,2. Max structure height between 5 & 10 ft of rear lot line   15 ft   15 ft,"Cottage cluster table row: a rear-edge height step for cottages. Different housing type; not a standard on the fourplex. Reader's 10.0 is the 10 ft band edge, not a height.",2. Max structure height between 5 & 10 ft of rear lot line 15 ft 15 ft
M0004,1650,not_here,inferred,False,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.4,0,max_height_ft,25.0,,25,"or 2 stories, whichever is greater",,"The height for all structures must not exceed 25 ft or 2 stories, whichever is greater.","Prose restatement of the L1614 cottage cluster table row, in the 19.505.4 cottage cluster section ('cottage unit' on L1644). 'All structures' means all structures in the cluster. Not our housing type.","The height for all structures must not exceed 25 ft or 2 stories, whichever is greater."
M0004,1876,not_here,clear,False,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.4,0,max_units,3.0 | 12.0 | 1.0,,12,"cottage cluster, minimum 3 cottages",,A cottage cluster must include a minimum of 3 cottages and a maximum of 12 cottages,Sentence names its subject: the cottage count of a cottage cluster. Not a unit cap on an attached fourplex.,"A cottage cluster must include a minimum of 3 cottages and a maximum of 12 cottages, subject to Table 19.505.4.B.1. Minimum separation between detached units is 6 ft."
M0004,2004,not_here,clear,True,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.4,0,setback_garage_entrance_ft,20.0,,20,,,Garage doors for attached and detached individual garages must not exceed 20 ft in width.,"20 ft is a maximum garage DOOR WIDTH, not a setback to a garage entrance; and it sits inside the cottage cluster design standards (19.505.4.C.4.k). No screen field for garage door width.",Garage doors for attached and detached individual garages must not exceed 20 ft in width.
M0005,631,not_here,inferred,False,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0140,28873,max_height_ft,6.0,,6,"ground-mounted, LDR-5 / LDR-7 / TLDR / TR",,b.   Ground-mounted. Systems shall not exceed 6 feet in height.,"4.0140 solar energy systems: 6 ft is the height cap on a ground-mounted solar array (an accessory structure), not the district building height. The roof-top rule just above (L628) defers to the district height limit we already hold.",b. Ground-mounted. Systems shall not exceed 6 feet in height.
M0005,636,not_here,clear,False,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0140,28873,max_height_ft,10.0,,10,"flat/mansard roof, MDR-12 / MDR-24 / OFR",,the solar energy systems on frames shall not exceed 10 feet above the roof height on which the system is installed.,"Height of a frame-mounted solar system above the roof, not the building height limit.",frames shall not exceed 10 feet above the roof height on which the system is installed.
M0005,639,not_here,clear,False,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0140,28873,max_height_ft,20.0,,20,"ground-mounted, MDR-12 / MDR-24 / OFR",,Ground-mounted solar energy systems shall not exceed 20 feet in height.,"Height cap on a ground-mounted solar array (accessory structure), not the building height limit.",b. Ground-mounted. Ground-mounted solar energy systems shall not exceed 20 feet in height.
M0006,1050,not_here,clear,False,or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt,4.1595,28873,max_height_ft,6.0,,6,"ground-mounted, Springwater residential districts",,Ground-mounted solar energy systems shall not exceed 6 feet in height.,"4.1595 solar energy systems, Springwater: cap on a ground-mounted solar array, not the district building height (which the roof-top rule on L1048 defers to).",b. Ground-mounted. Ground-mounted solar energy systems shall not exceed 6 feet in height.
M0006,1055,not_here,clear,False,or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt,4.1595,28873,max_height_ft,10.0,,10,"flat/mansard roof, NC-SW / VC-SW",,the solar energy systems on frames shall not exceed 10 feet above the roof height on which the system is installed.,"Frame-mounted solar height above the roof, and the heading (L1051) puts it in NC-SW and VC-SW, neither of which is a chapter zone. Not the building height limit.",frames shall not exceed 10 feet above the roof height on which the system is installed.
M0006,1058,not_here,clear,False,or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt,4.1595,28873,max_height_ft,20.0,,20,"ground-mounted, NC-SW / VC-SW",,Ground-mounted solar energy systems shall not exceed 20 feet in height.,"Ground-mounted solar array height cap in NC-SW/VC-SW (not chapter zones). Accessory structure, not the building height limit.",b. Ground-mounted. Ground-mounted solar energy systems shall not exceed 20 feet in height.
M0007,15625,not_here,inferred,True,or/clackamas/oregon-city,or/clackamas/oregon-city/17.zoning.txt,17.54.100,0,max_height_ft,3.5,,3.5,fence located in front of a building,,"A fence, hedge, wall, retaining wall, or combination thereof located in front of a building may be up to 3.5 feet in total height","17.54.100 fence standards: 3.5 ft is the maximum height of a fence/hedge/wall in front of the building (subject on L15623-24). Fence height, no screen field; the R-zone 35 ft building height we hold is untouched.",3.5 feet in total height as measured from the finished
M0007,15639,not_here,inferred,True,or/clackamas/oregon-city,or/clackamas/oregon-city/17.zoning.txt,17.54.100,0,max_height_ft,8.5,,8.5,"fence next to or behind the forward-most building, or more than 40 ft from right-of-way",,may be up to (as measured from the finished grade) 8.5 feet in height from the finished grade.,"Maximum fence/hedge/wall height beside or behind the forward-most building (subject on L15636-38). Fence height, not building height.",finished grade) 8.5 feet in height from the finished
M0007,15677,not_here,inferred,True,or/clackamas/oregon-city,or/clackamas/oregon-city/17.zoning.txt,17.54.100,0,max_height_ft,5.0,,3.5,fence located in front of the home,,"Any fence, hedge or wall located in front of may be up to 3. 5 feet in total height.","Caption text of the 'Residential Height Requirements' fence figure, restating item 1: 3.5 ft fence height in front of the home. The reader's 5.0 comes from '3.5' split as '3. 5' in extraction. Fence height, not building height.",3. 5 feet in total height.
M0008,15460,not_here,clear,False,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.176,0,max_height_ft,12.0,,12,,,Evergreen trees: Minimum height of 12 feet.,"Section 4.176 is the landscaping standard; this is the minimum planting height of an evergreen tree at installation, a plant-material spec, not a building height. No screen field holds tree size.",b. Evergreen trees: Minimum height of 12 feet.
M0008,15475,not_here,clear,False,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.176,0,max_height_ft,50.0,,50,,,"Trees over 50 feet mature height: Quercus garryana (Native Oregon White Oak),","A species list of satisfactory street trees, grouped by mature tree height. The 50 feet is a botanical classification, not a building standard.","a. Trees over 50 feet mature height: Quercus garryana (Native Oregon White Oak),"
M0008,15481,not_here,clear,False,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.176,0,max_height_ft,50.0,,50,,,"Trees under 50 feet mature height: Acer rubrum (Red Sunset Maple), Cornus","Same street-tree species list as L15475, the under-50-foot group. Tree height, not building height.","b. Trees under 50 feet mature height: Acer rubrum (Red Sunset Maple), Cornus"
M0009,408,not_here,clear,False,or/multnomah/fairview,or/multnomah/fairview/19.65.txt,19.65.090,2456,max_height_ft,12.0,,12,,,"the distance from the finished floor to the bottom of the ceiling structure above must be at least 12 feet. For ground floor area associated with a residential use, the height is 10 feet.","Design standard R1: a MINIMUM interior floor-to-ceiling height on the ground floor (12 ft commercial, 10 ft residential), not the maximum building height we hold at 45 ft (L241-L251). No screen field holds ceiling height. Worth knowing for a fixed-dimension pod in TCC: the residential ground floor must clear 10 ft floor-to-structure, which the screen cannot see.","Ground Floor Height. For ground floor commercial space in new buildings, the distance from the finished floor to the bottom of the ceiling structure above must be at least 12 feet. For ground floor ar"
M0009,617,not_here,clear,False,or/multnomah/fairview,or/multnomah/fairview/19.65.txt,19.65.090,2456,open_space_min_pct,20.0,,20,,,Up to 20 percent of the outdoor area may be landscaped to the standards of FMC 19.163.030(E)(1).,"Inside optional points item P2 (Outdoor Recreation Area, 3 pts). The 20 percent is a CAP on how much of that elective outdoor area may be landscaping, not a minimum open space share of lot area. An elective menu item, and the wrong direction for the field.",Up to 20 percent of the outdoor area may be landscaped to the standards of FMC 19.163.030(E)(1).
M0009,620,not_here,clear,False,or/multnomah/fairview,or/multnomah/fairview/19.65.txt,19.65.090,2456,max_height_ft,15.0,,15,,,"must be at least 15 feet. For ground floor area associated with a residential use, the height is 12 feet.","Optional points item P3 (Additional Ground Floor Height, 2 pts): a minimum interior floor-to-ceiling height a builder may choose to exceed for points. Not building height and not a requirement.","Additional Ground Floor Height. For ground floor commercial space in new buildings, the distance from the finished floor to the bottom of the ceiling structure above must be at least 15 feet. For grou"
M0010,500,not_here,clear,True,or/multnomah/gresham,or/multnomah/gresham/7.0400.middle-housing-design.txt,7.0431,28873,parking_min_per_unit,8.0,,,,,parking spaces for residential uses shall be at least 8.5 feet wide by 18 feet deep,"Stall dimensions (8.5 x 18 ft standard, 8 x 24 ft parallel) for townhouse projects, not a count of stalls per unit; the reader's 8.0 is the parallel stall width. This is stall geometry. If the screen carries a stall width/depth standard for Gresham, check it holds these figures for townhouse projects in these zones.","b. Off- street parking spaces for residential uses shall be at least 8.5 feet wide by 18 feet deep, or 8"
M0010,517,not_here,inferred,False,or/multnomah/gresham,or/multnomah/gresham/7.0400.middle-housing-design.txt,7.0431,28873,setback_garage_entrance_ft,3.0,,3,,,3 feet beyond the edge of the garage door,"L516-L517: where a pedestrian walkway is combined with a driveway, the walkway WIDTH must extend 3 ft past the garage door edge. A walkway width, not a setback to the garage entrance. We hold 20 ft garage setbacks for the downtown zones from 4.1100.",3 feet beyond the edge of the garage door (see Figure 7.0420(C) ).
M0010,574,not_here,clear,False,or/multnomah/gresham,or/multnomah/gresham/7.0400.middle-housing-design.txt,7.0431,28873,setback_street_side_ft,10.0,,10,,,within 10 feet of the street side setback line shall utilize a,"H. Side Wall Articulation: the 10 ft is a trigger distance (facades within 10 ft of the street side setback line must use one articulation strategy), not the street-side setback itself. Our held street-side setbacks (5 ft corridor, 10 ft downtown) come from the zone tables.",1. Facades facing street side setbacks and within 10 feet of the street side setback line shall utilize a
M0010,586,not_here,inferred,False,or/multnomah/gresham,or/multnomah/gresham/7.0400.middle-housing-design.txt,7.0431,28873,setback_side_ft,5.0,,5,elective articulation option (d) of four,,Setback all side walls at least an additional 5 feet,"Option (d) of four alternative side-wall articulation strategies (a: offsets every 35 ft, b: upper-floor step-back, c: 280 sq ft wall planes, d: extra 5 ft setback). It binds only if the builder elects it, so it is not the minimum side setback. A menu item the value model cannot hold; belongs in the refusals ledger if it is not already there.",d. Setback all side walls at least an additional 5 feet from the side setback line.
M0011,134,not_here,inferred,False,or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt,16.22.020,0,max_density_du_per_acre,20.0,,2.18,"one primary dwelling unit per 20,000 sq ft",,"The numerical designation of R-20 shall be interpreted to mean that the maximum density shall be one primary dwelling unit per 20,000 square feet of lot area.","A purpose statement (16.22.020, Ord. 389 of 2009), not the standards table. The sentence states 1 primary du per 20,000 sq ft (43,560/20,000 = 2.18 du/ac, a derived conversion); the reader's 20.0 is 'Twenty thousand' misread. It describes the single-detached pattern the district was written for. The operative density we hold for R20 comes from the table at L278/L281 (8.7 du/ac under unit_lots = four units per 20,000 sq ft). Reviewer should be aware the legacy purpose prose, read literally, would ask 80,000 sq ft for four units, which the 2022 table does not.",Residential—Twenty thousand Square Feet (R-20). This low density urban residential district responds to development patterns already established in the City and perpetuates those patterns in recogniti
M0011,138,not_here,inferred,False,or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt,16.22.020,0,max_density_du_per_acre,15.0,,2.9,"one primary dwelling unit per 15,000 sq ft",,"The numerical designation of R-15 shall be interpreted to mean that the maximum density shall be one primary dwelling unit per 15,000 square feet of lot area.","Same purpose-statement pattern as L134 for R-15: 1 primary du per 15,000 sq ft (43,560/15,000 = 2.90 du/ac, derived); the reader's 15.0 is 'Fifteen thousand' misread. The single-detached pattern in prose; the table at L278/L281 we hold gives 11.6 du/ac under unit_lots (four units per 15,000 sq ft). Same literal-conflict caveat as L134.",Residential—Fifteen thousand Square Feet (R-15). This low density urban residential district responds to the continuing urbanization of the City due to the availability of public sanitary sewers in ar
M0012,480,not_here,inferred,False,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.302.4,0,min_lot_sqft,5000.0,,5000,all other uses,,"All other uses require a minimum lot size of 5,000 sq ft.","Closes the R-HD lot-size-band list at L476-L478, where Quadplex is named in the bands (5,000-6,999 at L477, 7,000+ at L478, and the band at L476 we hold as 3,000). 'All other uses' means uses not listed in the bands, so it does not reach a quadplex.","All other uses require a minimum lot size of 5,000 sq ft."
M0012,514,encode,clear,False,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.302.4,0,setback_front_ft,5.0,R-HD,5,property identified in Figure 19.302.4 (map),,"For those properties identified in Figure 19.302.4, the minimum front yard setback is 5 ft.","We hold R-HD front setback 20 ft from L495 only. This sentence reduces it to 5 ft for the parcels mapped in Figure 19.302.4, a map-based site condition nothing computes until the figure's parcels are identified. Less restrictive than what we hold, so the gap costs greens rather than creating false ones, but it is a stated figure we do not carry. YAML: R-HD setback_front_ft exception when 'mapped in Figure 19.302.4' value 5, cite L514.","Table 19.302.4 is supplemented by Figure 19.302.4. For those properties identified in Figure 19.302.4, the minimum front yard setback is 5 ft."
M0013,243,not_here,inferred,False,or/clackamas/gladstone,or/clackamas/gladstone/17.10.r-7.2.txt,17.10.055,0,setback_front_ft,10.0,,10,cottage clusters,,(i) Front setbacks: 10 feet;,L241: 'Cottage clusters shall meet the minimum setback standards'. Section 17.10.055 is the cottage cluster standard; a 4-unit attached townhouse is not a cottage cluster. We hold the R10/R7.2 front setback of 20 ft from L169.,(i) Front setbacks: 10 feet;
M0013,247,not_here,inferred,False,or/clackamas/gladstone,or/clackamas/gladstone/17.10.r-7.2.txt,17.10.055,0,setback_rear_ft,10.0,,10,cottage clusters,,(iii) Rear setbacks: 10 feet.,Same cottage cluster setback list under L241. Not our housing type. We hold the R10/R7.2 rear setback of 15 ft from L197.,(iii) Rear setbacks: 10 feet.
M0014,248,not_here,inferred,False,or/clackamas/gladstone,or/clackamas/gladstone/17.12.r-5.txt,17.12.055,0,setback_front_ft,10.0,,10,cottage clusters,,(i) Front setbacks: 10 feet;,"L246: 'Cottage clusters shall meet the minimum setback standards'. Section 17.12.055 is the R5 cottage cluster standard, not our housing type. We hold the R5 front setback of 20 ft from L182.",(i) Front setbacks: 10 feet;
M0014,252,not_here,inferred,False,or/clackamas/gladstone,or/clackamas/gladstone/17.12.r-5.txt,17.12.055,0,setback_rear_ft,10.0,,10,cottage clusters,,(iii) Rear setbacks: 10 feet.,Same R5 cottage cluster setback list under L246. Not our housing type. We hold the R5 rear setback of 15 ft from L205.,(iii) Rear setbacks: 10 feet.
M0015,530,not_here,clear,False,or/clackamas/gladstone,or/clackamas/gladstone/17.48.parking.txt,17.48.050,0,parking_min_per_unit,1.0,,,,,100 percent of all bicycle parking spaces for multi-household development of four units and more shall be provided as long-term bicycle parking.,"Bicycle parking, not off-street vehicle stalls. The reader's 1.0 is '100 percent'. The sentence does reach a 4-unit building (all its bike spaces must be long-term), but no screen field holds bicycle parking.","(C) Notwithstanding subsection (1)(a)(A) of this section, 100 percent of all bicycle parking spaces for multi-household development of four units and more shall be provided as long-term bicycle parkin"
M0015,534,not_here,clear,False,or/clackamas/gladstone,or/clackamas/gladstone/17.48.parking.txt,17.48.050,0,parking_min_per_unit,30.0,,,,,located outside within 30 feet of the main entrance to the building,"A location rule for short-term bicycle racks (within 30 ft of the main entrance). The reader's 30 is a distance, not a stalls-per-unit ratio, and it is bicycle parking.","(a) Short-Term Bicycle Parking. Short-term bicycle parking facilities are lockers or racks that meet the standards of this section and that are located inside a building, or located outside within 30 "
M0015,540,not_here,clear,False,or/clackamas/gladstone,or/clackamas/gladstone/17.48.parking.txt,17.48.050,0,parking_min_per_unit,2.0,,,,,located within 100 feet of an entrance to the building,"Definition of covered outside long-term bicycle parking (within 100 ft of an entrance). The reader's 2.0 comes from the cross-reference '(2)(g)'. Bicycle parking, not vehicle stalls per unit.",(B) Covered outside bicycle parking spaces that meet the requirements of subsection (2)(g) of this section and are located within 100 feet of an entrance to the building;
M0016,4157,not_here,clear,True,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.312.7,0,max_height_ft,15.0,,,,,"The ground-floor street wall area is defined as the area up to the finished ceiling height of the space fronting the street or 15 ft above finished grade, whichever is less.","This defines the 'ground-floor street wall area' used by a blank-wall / facade transparency design standard (L4155); the 15 ft is the upper edge of the measured wall area, not a building height limit. No field holds facade transparency.","The ground-floor street wall area is defined as the area up to the finished ceiling height of the space fronting the street or 15 ft above finished grade, whichever is less."
M0016,4278,not_here,inferred,True,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.312.7,0,max_height_ft,14.0,,,,,"The ground-floor height must be at least 14 ft, as measured from the finished floor to the ceiling","A MINIMUM floor-to-ceiling height for the ground floor, not a maximum building height; the surrounding 19.312.7 standards (customer/tenant/lobby entrances, mansard roofs banned under 3 stories) read as mixed-use/commercial design standards, not R-MD/R-HD rules. If 19.312.7 does turn out to reach residential buildings in these zones, a 14 ft ground floor would be an unencoded design condition with no field to hold it.","The ground-floor height must be at least 14 ft, as measured from the finished floor to the ceiling, or from the finished floor to the bottom of the structure above (as in a multistory building). The b"
M0017,1978,not_here,inferred,False,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.815.040,195708,max_height_ft,50.0,,50,institutional uses,,Maximum Height [3]   50 ft.,"Row of Table 110-9 'Institutional Development Standards' (L1973-L1974): the 50 ft height governs institutional uses (schools, religious institutions, medical centers) in R zones, not household living. The residential heights we hold (30/35 ft) come from Table 110-3.",Maximum Height [3] 50 ft.
M0017,1979,not_here,inferred,True,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.815.040,195708,max_height_ft,1.0 | 2.0,,,institutional uses,,"Minimum Building Setbacks [2]   1 ft. back for every 2 ft. of bldg. height, but in no","This is a setback row (1 ft of setback per 2 ft of height, minimum 15 ft), not a height limit, and it is in the institutional table 110-9; the reader took the ratio's 1 and 2 as heights. Not a standard on a fourplex.","Minimum Building Setbacks [2] 1 ft. back for every 2 ft. of bldg. height, but in no"
M0018,1718,not_here,clear,False,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.270,195708,setback_side_ft,3.0,,3,"detached houses, lots >= 25 ft wide, internal lot lines of a land division",,their side setbacks reduced to 3 feet on lot lines internal to the land division site.,"33.120.270.D 'Reduced setbacks for detached houses' (L1716-L1717): a land-division allowance for detached houses on newly created lots, applying only to lot lines internal to the division. Different housing type and a different stage; an attached fourplex on one lot never reaches it.",their side setbacks reduced to 3 feet on lot lines internal to the land division site. The
M0018,1762,not_here,inferred,False,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.270,195708,max_height_ft,25.0,,25,cottage cluster,,Maximum height. The maximum height allowed is 25 feet.,"Item 5 of the cottage cluster standards: every neighbouring item (L1745 site area, L1747 site width, L1749 maximum area, L1756 'Cottage clusters are exempt from...') names cottage clusters. The 25 ft cap is on cottages, not on an attached townhouse building.",5. Maximum height. The maximum height allowed is 25 feet. Existing dwelling units that
M0019,1224,encode,clear,False,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.910,195708,setback_garage_entrance_ft,5.0,RM2 RM3 RM4 RX,5,"alternative to the 18 ft: garage entrance may be 5 ft or closer to the street lot line, provided it is no closer to the lot line than the facade of the residential portion",,"In the RM2, RM3, RM4, and RX zone, the garage entrance must be either 5 feet or closer to the street lot line, or 18 feet or farther from the street lot line.","We hold a flat 18 ft minimum for all six zones from Table 120-4 (L545-L546); the text makes it bimodal in RM2/RM3/RM4/RX -- either 5 ft or closer, or 18 ft or farther -- so a garage door at 0-5 ft that is flush with or behind the residential facade is legal and our 18 ft floor would fail it. RM1 and RMP keep the plain 18 ft. L1228-L1229 also waive the setback entirely on a lot line abutting an alley (not in our exceptions either).","a. In the RM2, RM3, RM4, and RX zone, the garage entrance must be either 5 feet"
M0019,1226,encode,clear,False,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.910,195708,setback_garage_entrance_ft,5.0,RM2 RM3 RM4 RX,5,when the garage entrance is within 5 ft of the front lot line it may not be closer to the lot line than the facade of the residential portion of the building,,"If the garage entrance is located within 5 feet of the front lot line, it may not be closer to the lot line than the facade of the residential portion of the building.","Same rule as L1224 -- this sentence is the qualifier on the 'within 5 ft' branch, so one YAML entry quoting L1224-L1227 covers both marked lines; counted here so the quote span is not cut short of the facade condition. Not a duplicate: we hold no 5 ft figure for this field anywhere.","garage entrance is located within 5 feet of the front lot line, it may not be closer"
