id,verdict,flags,layer,zone,row,encoded,read,form,confidence,for_this_zone,alternatives,fragment,note,quote,notes_seen,notes_changing,changes_the_figure,variants_held,unheld_exception,effects
00112,agree,,or/clackamas/happy-valley,R40,max_density_du_per_acre [unit_lots],4.4,4.4,units per net acre,clear,True,"Lot size (minimum and maximum density) for quadplex, R-40: 40,000 sq. ft., a different basis",Townhome maximum density (units per net acre) | R-40: 4.4 du/net acre,,"or/clackamas/happy-valley/16.22.residential.txt#L278,L281",7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00113,agree,,or/clackamas/happy-valley,R40,setback_front_ft,22,22,feet,clear,True,"Cottage cluster, front: 10 feet","Building setbacks (minimum), Front | R-40: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L290,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00114,agree,,or/clackamas/happy-valley,R40,setback_side_ft,15,15,feet,clear,True,"0 feet, the townhome branch of the same cell (note 4) | Cottage cluster, interior side: 10 feet","Building setbacks (minimum), Interior side | R-40: 15/0[4] feet",,or/clackamas/happy-valley/16.22.residential.txt#L292,7,2,True,1,False,"[4] 0 for townhomes where the adopted building code allows it | [6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00115,agree,,or/clackamas/happy-valley,R40,setback_side_ft [attached_wall+unit_lots],0,0,feet,clear,True,"15 feet, the base branch of the same cell","Building setbacks (minimum), Interior side | R-40: 15/0[4] feet",,"or/clackamas/happy-valley/16.22.residential.txt#L292,L305",7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00116,agree,,or/clackamas/happy-valley,R40,setback_rear_ft,22,22,feet,clear,True,"Cottage cluster, rear: 10 feet","Building setbacks (minimum), Rear | R-40: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L291,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00117,agree,,or/clackamas/happy-valley,R40,setback_street_side_ft,15,15,feet,clear,True,"Cottage cluster, street side: 10 feet","Building setbacks (minimum), Street side (corner lot) | R-40: 15 feet",,or/clackamas/happy-valley/16.22.residential.txt#L293,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00118,agree,,or/clackamas/happy-valley,R40,min_lot_sqft,40000,40000,square feet,clear,True,"Lot size (minimum): Townhome, R-40: 1,500 sq. ft.","Lot size (minimum and maximum density): Single-family detached, duplex, triplex, quadplex, cottage cluster[1,6] | R-40: 40,000 sq. ft.",,or/clackamas/happy-valley/16.22.residential.txt#L279,7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00119,agree,,or/clackamas/happy-valley,R40,min_lot_sqft [unit_lots],1500.0,1500,square feet,clear,True,"Lot size row for quadplex, R-40: 40,000 sq. ft.","Lot size (minimum): Townhome[1] | R-40: 1,500 sq. ft.",,or/clackamas/happy-valley/16.22.residential.txt#L280,7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00120,agree,,or/clackamas/happy-valley,R40,min_lot_width_ft,100,100,feet,clear,True,"Street frontage (minimum), all other lots, R-40: 100 feet, a different standard","Lot width (minimum)[2,6] | R-40: 100 feet",,or/clackamas/happy-valley/16.22.residential.txt#L282,7,2,True,1,False,"[2] townhomes are exempt from the minimum lot width | [6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00121,agree,,or/clackamas/happy-valley,R40,min_lot_depth_ft,200,200,feet,clear,True,,Lot depth (minimum) | R-40: 200 feet,,or/clackamas/happy-valley/16.22.residential.txt#L283,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00122,agree,,or/clackamas/happy-valley,R40,min_frontage_ft,100,100,feet,clear,True,Lots fronting on cul-de-sac: 70 feet | Townhomes: 20 feet | Lot width (minimum): 100 feet,"Street frontage (minimum), All other lots | R-40: 100 feet",,"or/clackamas/happy-valley/16.22.residential.txt#L284,L286",7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00123,agree,,or/clackamas/happy-valley,R40,min_frontage_ft [unit_lots],20,20,feet,clear,True,All other lots: 100 feet | Lots fronting on cul-de-sac: 70 feet,"Street frontage (minimum), Townhomes | R-40: 20 feet",,or/clackamas/happy-valley/16.22.residential.txt#L287,7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00124,agree,,or/clackamas/happy-valley,R40,max_coverage_pct,20,20,percent,clear,True,"1,000 square feet of buildings, decks, stairways and entry bridges for townhomes, per note 7","Lot coverage (maximum)[3,6,7] | R-40: 20%",,or/clackamas/happy-valley/16.22.residential.txt#L288,7,2,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot | [7] townhomes get the greater of the table percentage or 1,000 sq ft of buildings/decks over 30 inches"
00127,agree,,or/clackamas/happy-valley,R20,max_height_ft,45,45,feet,clear,True,"49 feet at side and rear elevations, per note 5",Building height (maximum) | R-20: 45 feet[5],,"or/clackamas/happy-valley/16.22.residential.txt#L278,L298",7,2,True,0,True,"[5] 45 ft is the front elevation; side and rear elevations may reach 49 ft (worded for single-family residential) | [6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00128,agree,,or/clackamas/happy-valley,R20,max_density_du_per_acre [unit_lots],8.7,8.7,units per net acre,clear,True,"Lot size (minimum and maximum density) for quadplex, R-20: 20,000 sq. ft., a different basis",Townhome maximum density (units per net acre) | R-20: 8.7 du/net acre,,"or/clackamas/happy-valley/16.22.residential.txt#L278,L281",7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00129,agree,,or/clackamas/happy-valley,R20,setback_front_ft,22,22,feet,clear,True,"Cottage cluster, front: 10 feet","Building setbacks (minimum), Front | R-20: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L290,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00130,agree,,or/clackamas/happy-valley,R20,setback_side_ft,10,10,feet,clear,True,"0 feet, the townhome branch of the same cell (note 4) | Cottage cluster, interior side: 10 feet","Building setbacks (minimum), Interior side | R-20: 10/0[4] feet",,or/clackamas/happy-valley/16.22.residential.txt#L292,7,2,True,1,False,"[4] 0 for townhomes where the adopted building code allows it | [6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00131,agree,,or/clackamas/happy-valley,R20,setback_side_ft [attached_wall+unit_lots],0,0,feet,clear,True,"10 feet, the base branch of the same cell","Building setbacks (minimum), Interior side | R-20: 10/0[4] feet",,"or/clackamas/happy-valley/16.22.residential.txt#L292,L305",7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00132,agree,,or/clackamas/happy-valley,R20,setback_rear_ft,22,22,feet,clear,True,"Cottage cluster, rear: 10 feet","Building setbacks (minimum), Rear | R-20: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L291,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00133,agree,,or/clackamas/happy-valley,R20,setback_street_side_ft,15,15,feet,clear,True,"Cottage cluster, street side: 10 feet","Building setbacks (minimum), Street side (corner lot) | R-20: 15 feet",,or/clackamas/happy-valley/16.22.residential.txt#L293,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00134,agree,,or/clackamas/happy-valley,R20,min_lot_sqft,20000,20000,square feet,clear,True,"Lot size (minimum): Townhome, R-20: 1,500 sq. ft.","Lot size (minimum and maximum density): Single-family detached, duplex, triplex, quadplex, cottage cluster[1,6] | R-20: 20,000 sq. ft.",,or/clackamas/happy-valley/16.22.residential.txt#L279,7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00135,agree,,or/clackamas/happy-valley,R20,min_lot_sqft [unit_lots],1500.0,1500,square feet,clear,True,"Lot size row for quadplex, R-20: 20,000 sq. ft.","Lot size (minimum): Townhome[1] | R-20: 1,500 sq. ft.",,or/clackamas/happy-valley/16.22.residential.txt#L280,7,1,True,1,False,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00136,agree,,or/clackamas/happy-valley,R20,min_lot_width_ft,80,80,feet,clear,True,"Street frontage (minimum), all other lots, R-20: 80 feet, a different standard","Lot width (minimum)[2,6] | R-20: 80 feet",,or/clackamas/happy-valley/16.22.residential.txt#L282,7,2,True,1,False,"[2] townhomes are exempt from the minimum lot width | [6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00137,agree,,or/clackamas/happy-valley,R20,min_lot_depth_ft,100,100,feet,clear,True,,Lot depth (minimum) | R-20: 100 feet,,or/clackamas/happy-valley/16.22.residential.txt#L283,7,1,True,0,True,"[6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
00138,agree,,or/clackamas/happy-valley,R20,min_frontage_ft,80,80,feet,clear,True,"50 feet - ""Lots fronting on cul-de-sac"" row, R-20 | 20 feet - ""Townhomes"" frontage row, R-20","Street frontage (minimum) / ""All other lots"" - R-20 column: 100 feet | 80 feet | 60 feet",,"or/clackamas/happy-valley/16.22.residential.txt#L284,L286",7,0,False,1,False,
00139,agree,,or/clackamas/happy-valley,R20,min_frontage_ft [unit_lots],20,20,feet,clear,True,"80 feet - ""All other lots"" row, R-20 (base) | 50 feet - cul-de-sac row, R-20","Street frontage (minimum) / ""Townhomes"" - R-20 column: 20 feet",,or/clackamas/happy-valley/16.22.residential.txt#L287,7,0,False,1,False,
00140,agree,,or/clackamas/happy-valley,R20,max_coverage_pct,30,30,percent,clear,True,"1,000 sq ft of building/deck area - the townhome alternative in note 7","""Lot coverage (maximum)[3,6,7]"" - R-20 column: 20% | 30% | 35%",,or/clackamas/happy-valley/16.22.residential.txt#L288,7,1,True,0,True,"[7] Townhomes may instead take the greater of the table percent or 1,000 sq ft of building/deck area."
00143,agree,,or/clackamas/happy-valley,R15,max_height_ft,45,45,feet,clear,True,49 feet - side and rear elevations under note 5,"""Building height (maximum)"" - R-15 column: 45 feet[5]",,"or/clackamas/happy-valley/16.22.residential.txt#L278,L298",7,1,True,0,True,[5] The 45 ft is the front elevation only; side and rear elevations may go to 49 ft.
00144,agree,noted,or/clackamas/happy-valley,R15,max_density_du_per_acre [unit_lots],11.6,11.6,units per net acre,clear,True,"15,000 sq. ft. - ""Lot size (minimum and maximum density)"" quadplex row, R-15","""Townhome maximum density (units per net acre)"" - R-15 column: 4.4 | 8.7 | 11.6 du/net acre","Printed as du per NET acre, not per gross acre - note 1 uses gross acre for cottage clusters, so the two denominators in this one table differ.","or/clackamas/happy-valley/16.22.residential.txt#L278,L281",7,0,False,1,False,
00145,agree,,or/clackamas/happy-valley,R15,setback_front_ft,22,22,feet,clear,True,,"Building setbacks (minimum)[6] / ""Front"" - R-15 column: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L290,7,0,False,0,False,
00146,agree,noted,or/clackamas/happy-valley,R15,setback_side_ft,7,7,feet,clear,True,"0 feet - the ""/0[4]"" half of the same cell, for townhomes","Building setbacks (minimum)[6] / ""Interior side"" - R-15 column: 15/0[4] | 10/0[4] | 7/0[4] feet","The cell prints two operands (""7/0[4] feet""): the first is the general interior side setback and the second is the footnoted townhome/common-wall option.",or/clackamas/happy-valley/16.22.residential.txt#L292,7,1,True,1,False,[4] Interior side drops to 0 ft for townhome units where the adopted building code allows the common wall.
00147,agree,,or/clackamas/happy-valley,R15,setback_side_ft [attached_wall+unit_lots],0,0,feet,clear,True,"7 feet - base interior side setback, R-15","""Interior side"" - R-15 column: 7/0[4] feet, with note [4] ""Interior side yard setbacks for townhomes may be reduced to zero""",,"or/clackamas/happy-valley/16.22.residential.txt#L292,L305",7,1,True,1,False,[4] Interior side drops to 0 ft for townhome units where the adopted building code allows the common wall.
00148,agree,,or/clackamas/happy-valley,R15,setback_rear_ft,22,22,feet,clear,True,,"Building setbacks (minimum)[6] / ""Rear"" - R-15 column: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L291,7,0,False,0,False,
00149,agree,,or/clackamas/happy-valley,R15,setback_street_side_ft,15,15,feet,clear,True,"10 feet - ""Cottage cluster, street side"" row (cottage clusters only)","""Street side (corner lot)"" - R-15 column: 15 feet",,or/clackamas/happy-valley/16.22.residential.txt#L293,7,0,False,0,False,
00150,agree,noted,or/clackamas/happy-valley,R15,min_lot_sqft,15000,15000,square feet,clear,True,"1,500 sq. ft. - ""Lot size (minimum): Townhome[1]"" row","""Lot size (minimum and maximum density): Single-family detached, duplex, triplex, quadplex, cottage cluster[1,6]"" - R-15: 15,000 sq. ft.","The row is labeled ""Lot size (minimum and maximum density)"", so the same figure also states maximum density; the marked line does not say whether a quadplex needs that area in total or per unit.",or/clackamas/happy-valley/16.22.residential.txt#L279,7,0,False,1,False,
00151,agree,,or/clackamas/happy-valley,R15,min_lot_sqft [unit_lots],1500.0,1500,square feet,clear,True,"15,000 sq. ft. - quadplex/cottage-cluster lot size row, R-15 (base)","""Lot size (minimum): Townhome[1]"" - R-15 column: 1,500 sq. ft.",,or/clackamas/happy-valley/16.22.residential.txt#L280,7,0,False,1,False,
00152,agree,,or/clackamas/happy-valley,R15,min_lot_width_ft,70,70,feet,clear,True,no minimum - townhomes exempt from lot width under note 2,"""Lot width (minimum)[2,6]"" - R-15 column: 100 feet | 80 feet | 70 feet",,or/clackamas/happy-valley/16.22.residential.txt#L282,7,1,True,1,False,[2] Townhomes exempt outright: no lot-width minimum where the four attached units sit on their own lots.
00153,agree,,or/clackamas/happy-valley,R15,min_lot_depth_ft,90,90,feet,clear,True,,"""Lot depth (minimum)"" - R-15 column: 200 feet | 100 feet | 90 feet",,or/clackamas/happy-valley/16.22.residential.txt#L283,7,0,False,0,False,
00154,agree,,or/clackamas/happy-valley,R15,min_frontage_ft,60,60,feet,clear,True,"50 feet - ""Lots fronting on cul-de-sac"" row, R-15 | 20 feet - ""Townhomes"" frontage row, R-15","Street frontage (minimum) / ""All other lots"" - R-15 column: 100 feet | 80 feet | 60 feet",,"or/clackamas/happy-valley/16.22.residential.txt#L284,L286",7,0,False,1,False,
00155,agree,,or/clackamas/happy-valley,R15,min_frontage_ft [unit_lots],20,20,feet,clear,True,"60 feet - ""All other lots"" row, R-15 (base) | 50 feet - cul-de-sac row, R-15","Street frontage (minimum) / ""Townhomes"" - R-15 column: 20 feet",,or/clackamas/happy-valley/16.22.residential.txt#L287,7,0,False,1,False,
00156,agree,,or/clackamas/happy-valley,R15,max_coverage_pct,35,35,percent,clear,True,"1,000 sq ft of building/deck area - the townhome alternative in note 7","""Lot coverage (maximum)[3,6,7]"" - R-15 column: 20% | 30% | 35%",,or/clackamas/happy-valley/16.22.residential.txt#L288,7,1,True,0,True,"[7] Townhomes may instead take the greater of the table percent or 1,000 sq ft of building/deck area."
00159,agree,,or/clackamas/happy-valley,R10,max_height_ft,45,45,feet,clear,True,49 feet - side and rear elevations under note 5,"""Building height (maximum)"" - R-10 column: 45 feet[5]",,"or/clackamas/happy-valley/16.22.residential.txt#L468,L488",7,1,True,0,True,[5] The 45 ft is the front elevation only; side and rear elevations may go to 49 ft.
00160,agree,noted,or/clackamas/happy-valley,R10,max_density_du_per_acre [unit_lots],17.4,17.4,units per net acre,clear,True,"10,000 sq. ft. - quadplex lot size row, R-10","""Townhome maximum density (units per net acre)"" - R-10 column: 17.4 du/net acre","Printed as du per NET acre, not per gross acre - note 1 uses gross acre for cottage clusters, so the two denominators in this one table differ.","or/clackamas/happy-valley/16.22.residential.txt#L468,L471",7,0,False,1,False,
00161,agree,,or/clackamas/happy-valley,R10,setback_front_ft,22,22,feet,clear,True,,"Building setbacks (minimum)[6] / ""Front"" - R-10 column: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L481,7,0,False,0,False,
00162,agree,noted,or/clackamas/happy-valley,R10,setback_side_ft,7,7,feet,clear,True,"0 feet - the ""/0[4]"" half of the same cell, for townhomes","Building setbacks (minimum)[6] / ""Interior side"" - R-10 column: 7/0[4] feet","The cell prints two operands (""7/0[4] feet""): the first is the general interior side setback and the second is the footnoted townhome/common-wall option.",or/clackamas/happy-valley/16.22.residential.txt#L483,7,1,True,1,False,[4] Interior side drops to 0 ft for townhome units where the adopted building code allows the common wall.
00163,agree,,or/clackamas/happy-valley,R10,setback_side_ft [attached_wall+unit_lots],0,0,feet,clear,True,"7 feet - base interior side setback, R-10","""Interior side"" - R-10 column: 7/0[4] feet, with note [4] ""Interior side yard setbacks for townhomes may be reduced to zero""",,"or/clackamas/happy-valley/16.22.residential.txt#L483,L495",7,1,True,1,False,[4] Interior side drops to 0 ft for townhome units where the adopted building code allows the common wall.
00164,agree,,or/clackamas/happy-valley,R10,setback_rear_ft,22,22,feet,clear,True,"10 feet - ""Cottage cluster units, rear"" row (cottage clusters only)","Building setbacks (minimum)[6] / ""Rear"" - R-10 column: 22 feet",,or/clackamas/happy-valley/16.22.residential.txt#L482,7,0,False,0,False,
00165,agree,,or/clackamas/happy-valley,R10,setback_street_side_ft,15,15,feet,clear,True,,"""Street side (corner lot)"" - R-10 column: 15 feet",,or/clackamas/happy-valley/16.22.residential.txt#L485,7,0,False,0,False,
00166,agree,noted,or/clackamas/happy-valley,R10,min_lot_sqft,10000,10000,square feet,clear,True,"1,500 sq. ft. - ""Lot size (minimum): Townhome[1]"" row","""Lot size (minimum and maximum density): Single-family detached, duplex, triplex, quadplex, cottage cluster[1,6]"" - R-10: 10,000 sq. ft.","The row is labeled ""Lot size (minimum and maximum density)"", so the same figure also states maximum density; the marked line does not say whether a quadplex needs that area in total or per unit.",or/clackamas/happy-valley/16.22.residential.txt#L469,7,0,False,1,False,
00167,agree,,or/clackamas/happy-valley,R10,min_lot_sqft [unit_lots],1500.0,1500,square feet,clear,True,"10,000 sq. ft. - quadplex/cottage-cluster lot size row, R-10 (base)","""Lot size (minimum): Townhome[1]"" - R-10 column: 1,500 sq. ft.",,or/clackamas/happy-valley/16.22.residential.txt#L470,7,0,False,1,False,
00168,agree,,or/clackamas/happy-valley,R10,min_lot_width_ft,60,60,feet,clear,True,no minimum - townhomes exempt from lot width under note 2,"""Lot width (minimum)[2,6]"" - R-10 column: 60 feet | 50 feet | 50 feet",,or/clackamas/happy-valley/16.22.residential.txt#L472,7,1,True,1,False,[2] Townhomes exempt outright: no lot-width minimum where the four attached units sit on their own lots.
00169,agree,,or/clackamas/happy-valley,R10,max_coverage_pct,40,40,percent,clear,True,"1,000 sq ft of building/deck area - the townhome alternative in note 7","Lot coverage (maximum)[3,6,7] / ""Single-family detached, duplex, triplex, quadplex, townhome"" - R-10: 40%",,or/clackamas/happy-valley/16.22.residential.txt#L479,7,1,True,0,True,"[7] Townhomes may instead take the greater of the table percent or 1,000 sq ft of building/deck area."
00170,agree,,or/clackamas/happy-valley,R10,min_lot_depth_ft,80,80,feet,clear,True,,"""Lot depth (minimum)"" - R-10 column: 80 feet | 70 feet | 70 feet",,or/clackamas/happy-valley/16.22.residential.txt#L473,7,0,False,0,False,
00171,agree,,or/clackamas/happy-valley,R10,min_frontage_ft,50,50,feet,clear,True,"35 feet - ""Lots fronting on cul-de-sac"" row, R-10 | 20 feet - ""Townhomes"" frontage row, R-10","Street frontage (minimum)[6] / ""All other lots"" - R-10 column: 50 feet",,"or/clackamas/happy-valley/16.22.residential.txt#L474,L476",7,0,False,1,False,
00172,agree,,or/clackamas/happy-valley,R10,min_frontage_ft [unit_lots],20,20,feet,clear,True,"50 feet - ""All other lots"" row, R-10 (base) | 35 feet - cul-de-sac row, R-10","Street frontage (minimum)[6] / ""Townhomes"" - R-10 column: 20 feet",,or/clackamas/happy-valley/16.22.residential.txt#L477,7,0,False,1,False,
