id,verdict,flags,layer,zone,row,encoded,read,form,confidence,for_this_zone,alternatives,fragment,note,quote,document
00010,agree,noted,or/clackamas/_unincorporated,R5,min_lot_sqft,7000,7000,square feet,clear,unknown,,"Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.",Section 845.01 is a county-wide middle-housing standard that names no zoning district; the quadplex line carries no zone exception (only the triplex line excepts VR-4/5 and VR-5/7).,"or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00011,agree,noted,or/clackamas/_unincorporated,R5,max_height_ft,35,35,feet,inferred,unknown,,"Maximum Building Height | All other buildings, including accessory dwelling units: 35 feet","No district header is visible; the cited cell is the 2nd of 8 district columns (R-5 if the columns run R-2.5, R-5, R-7, R-8.5, R-10, R-15, R-20, R-30 as the lot-size row suggests), but every column prints 35 feet so the figure does not depend on the column.","or/clackamas/_unincorporated/zdo.315.txt#L1169,L1173",or/clackamas/_unincorporated/zdo.315.txt
00012,agree,noted,or/clackamas/_unincorporated,R5,setback_front_ft,15,15,feet,inferred,unknown,20 feet to garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","No district header is visible (cited cell is column 2 of 8, all eight identical); footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1188,or/clackamas/_unincorporated/zdo.315.txt
00013,agree,noted,or/clackamas/_unincorporated,R5,setback_garage_entrance_ft,20,20,feet,inferred,unknown,15 feet for the building other than garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","Figure is the 'except' clause of the front-setback cell; no district header is visible (column 2 of 8, all eight identical) and footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1188,or/clackamas/_unincorporated/zdo.315.txt
00014,agree,noted,or/clackamas/_unincorporated,R5,setback_side_ft,5,5,feet,inferred,unknown,,"Minimum Side Setback | 5 feet[7,8,9,10,11]","No district header is visible (cited cell is column 2 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1206,or/clackamas/_unincorporated/zdo.315.txt
00015,agree,noted,or/clackamas/_unincorporated,R5,setback_rear_ft,20,20,feet,inferred,unknown,,"Minimum Rear Setback | 20 feet[7,8,9,10,11]","No district header is visible (cited cell is column 2 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1197,or/clackamas/_unincorporated/zdo.315.txt
00016,agree,noted,or/clackamas/_unincorporated,R5,max_coverage_pct,50,50,percent,inferred,unknown,,"Maximum Lot Coverage | 50 percent[5,6]","No district header is visible (cited cell is column 2 of 8, all eight identical); footnotes [5] and [6] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1162,or/clackamas/_unincorporated/zdo.315.txt
00017,agree,noted,or/clackamas/_unincorporated,R7,min_lot_sqft,7000,7000,square feet,clear,unknown,,"Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.",Section 845.01 is a county-wide middle-housing standard that names no zoning district; the quadplex line carries no zone exception (only the triplex line excepts VR-4/5 and VR-5/7).,"or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00018,agree,noted,or/clackamas/_unincorporated,R7,max_height_ft,35,35,feet,inferred,unknown,,"Maximum Building Height | All other buildings, including accessory dwelling units: 35 feet","No district header is visible; the cited cell is the 3rd of 8 district columns (R-7 if the columns run R-2.5, R-5, R-7, R-8.5, R-10, R-15, R-20, R-30 as the lot-size row suggests), but every column prints 35 feet so the figure does not depend on the column.","or/clackamas/_unincorporated/zdo.315.txt#L1169,L1175",or/clackamas/_unincorporated/zdo.315.txt
00019,agree,noted,or/clackamas/_unincorporated,R7,setback_front_ft,15,15,feet,inferred,unknown,20 feet to garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","No district header is visible (cited cell is column 3 of 8, all eight identical); footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1189,or/clackamas/_unincorporated/zdo.315.txt
00020,agree,noted,or/clackamas/_unincorporated,R7,setback_garage_entrance_ft,20,20,feet,inferred,unknown,15 feet for the building other than garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","Figure is the 'except' clause of the front-setback cell; no district header is visible (column 3 of 8, all eight identical) and footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1189,or/clackamas/_unincorporated/zdo.315.txt
00021,agree,noted,or/clackamas/_unincorporated,R7,setback_side_ft,5,5,feet,inferred,unknown,,"Minimum Side Setback | 5 feet[7,8,9,10,11]","No district header is visible (cited cell is column 3 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1207,or/clackamas/_unincorporated/zdo.315.txt
00022,agree,noted,or/clackamas/_unincorporated,R7,setback_rear_ft,20,20,feet,inferred,unknown,,"Minimum Rear Setback | 20 feet[7,8,9,10,11]","No district header is visible (cited cell is column 3 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1198,or/clackamas/_unincorporated/zdo.315.txt
00023,agree,noted,or/clackamas/_unincorporated,R7,max_coverage_pct,50,50,percent,inferred,unknown,,"Maximum Lot Coverage | 50 percent[5,6]","No district header is visible (cited cell is column 3 of 8, all eight identical); footnotes [5] and [6] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1163,or/clackamas/_unincorporated/zdo.315.txt
00024,agree,noted,or/clackamas/_unincorporated,R8.5,min_lot_sqft,7000,7000,square feet,clear,unknown,,"Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.",Section 845.01 is a county-wide middle-housing standard that names no zoning district; the quadplex line carries no zone exception (only the triplex line excepts VR-4/5 and VR-5/7).,"or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00025,agree,noted,or/clackamas/_unincorporated,R8.5,max_height_ft,35,35,feet,inferred,unknown,,"Maximum Building Height | All other buildings, including accessory dwelling units: 35 feet","No district header is visible; the cited cell is the 4th of 8 district columns (R-8.5 if the columns run R-2.5, R-5, R-7, R-8.5, R-10, R-15, R-20, R-30 as the lot-size row suggests), but every column prints 35 feet so the figure does not depend on the column.","or/clackamas/_unincorporated/zdo.315.txt#L1169,L1177",or/clackamas/_unincorporated/zdo.315.txt
00026,agree,noted,or/clackamas/_unincorporated,R8.5,setback_front_ft,15,15,feet,inferred,unknown,20 feet to garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","No district header is visible (cited cell is column 4 of 8, all eight identical); footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1190,or/clackamas/_unincorporated/zdo.315.txt
00027,agree,noted,or/clackamas/_unincorporated,R8.5,setback_garage_entrance_ft,20,20,feet,inferred,unknown,15 feet for the building other than garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","Figure is the 'except' clause of the front-setback cell; no district header is visible (column 4 of 8, all eight identical) and footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1190,or/clackamas/_unincorporated/zdo.315.txt
00028,agree,noted,or/clackamas/_unincorporated,R8.5,setback_side_ft,5,5,feet,inferred,unknown,,"Minimum Side Setback | 5 feet[7,8,9,10,11]","No district header is visible (cited cell is column 4 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1208,or/clackamas/_unincorporated/zdo.315.txt
00029,agree,noted,or/clackamas/_unincorporated,R8.5,setback_rear_ft,20,20,feet,inferred,unknown,,"Minimum Rear Setback | 20 feet[7,8,9,10,11]","No district header is visible (cited cell is column 4 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1199,or/clackamas/_unincorporated/zdo.315.txt
00030,agree,noted,or/clackamas/_unincorporated,R8.5,max_coverage_pct,50,50,percent,inferred,unknown,,"Maximum Lot Coverage | 50 percent[5,6]","No district header is visible (cited cell is column 4 of 8, all eight identical); footnotes [5] and [6] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1164,or/clackamas/_unincorporated/zdo.315.txt
00031,agree,noted,or/clackamas/_unincorporated,R10,min_lot_sqft,7000,7000,square feet,clear,unknown,,"Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.",Section 845.01 is a county-wide middle-housing standard that names no zoning district; the quadplex line carries no zone exception (only the triplex line excepts VR-4/5 and VR-5/7).,"or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00032,agree,noted,or/clackamas/_unincorporated,R10,max_height_ft,35,35,feet,inferred,unknown,,"Maximum Building Height | All other buildings, including accessory dwelling units: 35 feet","No district header is visible; the cited cell is the 5th of 8 district columns, whose lot-size cell reads 10,000/8,000 square feet (consistent with R-10), and every column prints 35 feet so the figure does not depend on the column.","or/clackamas/_unincorporated/zdo.315.txt#L1169,L1179",or/clackamas/_unincorporated/zdo.315.txt
00033,agree,noted,or/clackamas/_unincorporated,R10,setback_front_ft,15,15,feet,inferred,unknown,20 feet to garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","No district header is visible (cited cell is column 5 of 8, all eight identical); footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1191,or/clackamas/_unincorporated/zdo.315.txt
00034,agree,noted,or/clackamas/_unincorporated,R10,setback_garage_entrance_ft,20,20,feet,inferred,unknown,15 feet for the building other than garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","Figure is the 'except' clause of the front-setback cell; no district header is visible (column 5 of 8, all eight identical) and footnote [7] attaches and is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1191,or/clackamas/_unincorporated/zdo.315.txt
00035,agree,noted,or/clackamas/_unincorporated,R10,setback_side_ft,5,5,feet,inferred,unknown,,"Minimum Side Setback | 5 feet[7,8,9,10,11]","No district header is visible (cited cell is column 5 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1209,or/clackamas/_unincorporated/zdo.315.txt
00036,agree,noted,or/clackamas/_unincorporated,R10,setback_rear_ft,20,20,feet,inferred,unknown,,"Minimum Rear Setback | 20 feet[7,8,9,10,11]","No district header is visible (cited cell is column 5 of 8, all eight identical); footnotes [7] through [11] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1200,or/clackamas/_unincorporated/zdo.315.txt
00037,agree,noted,or/clackamas/_unincorporated,R10,max_coverage_pct,50,50,percent,inferred,unknown,,"Maximum Lot Coverage | 50 percent[5,6]","No district header is visible (cited cell is column 5 of 8, all eight identical); footnotes [5] and [6] attach and are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1165,or/clackamas/_unincorporated/zdo.315.txt
00038,agree,noted,or/clackamas/_unincorporated,R15,min_lot_sqft,7000,7000,square feet,clear,unknown,,"Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.",Section 845.01 is a county-wide middle-housing standard that names no zoning district; the quadplex line carries no zone exception (only the triplex line excepts VR-4/5 and VR-5/7).,"or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00039,agree,noted,or/clackamas/_unincorporated,R15,max_height_ft,35,35,feet,inferred,unknown,,"Maximum Building Height | All other buildings, including accessory dwelling units: 35 feet","No district header is visible; the cited cell is the 6th of 8 district columns, whose lot-size cell reads 15,000/12,000 square feet (consistent with R-15), and every column prints 35 feet so the figure does not depend on the column.","or/clackamas/_unincorporated/zdo.315.txt#L1169,L1181",or/clackamas/_unincorporated/zdo.315.txt
00040,agree,noted,or/clackamas/_unincorporated,R15,setback_front_ft,15,15,feet,inferred,unknown,20 ft to garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","No zone header row is in the passage so the R15 column cannot be confirmed, but all eight cells under Minimum Front Setback are identical; footnote [7] is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1192,or/clackamas/_unincorporated/zdo.315.txt
00041,agree,noted,or/clackamas/_unincorporated,R15,setback_garage_entrance_ft,20,20,feet,inferred,unknown,15 ft general front setback for non-garage walls,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]",The 20 ft is the 'except ... to garage and carport motor vehicle entries' clause inside the front-setback row; no zone header is visible but all eight cells are identical; footnote [7] is not shown.,or/clackamas/_unincorporated/zdo.315.txt#L1192,or/clackamas/_unincorporated/zdo.315.txt
00042,agree,noted,or/clackamas/_unincorporated,R15,setback_side_ft,5,5,feet,inferred,unknown,,"Minimum Side Setback | 5 feet[7,8,9,10,11]","No zone header row is visible so the R15 column cannot be confirmed, but all eight cells under Minimum Side Setback are identical; footnotes [7,8,9,10,11] are not shown and may qualify the figure.",or/clackamas/_unincorporated/zdo.315.txt#L1210,or/clackamas/_unincorporated/zdo.315.txt
00043,agree,noted,or/clackamas/_unincorporated,R15,setback_rear_ft,20,20,feet,inferred,unknown,,"Minimum Rear Setback | 20 feet[7,8,9,10,11]","No zone header row is visible so the R15 column cannot be confirmed, but all eight cells under Minimum Rear Setback are identical; footnotes [7,8,9,10,11] are not shown and may qualify the figure.",or/clackamas/_unincorporated/zdo.315.txt#L1201,or/clackamas/_unincorporated/zdo.315.txt
00044,agree,noted,or/clackamas/_unincorporated,R15,max_coverage_pct,50,50,percent,inferred,unknown,,"Maximum Lot Coverage | 50 percent[5,6]","No zone header row is visible so the R15 column cannot be confirmed, but all eight cells under Maximum Lot Coverage are identical; footnotes [5,6] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1166,or/clackamas/_unincorporated/zdo.315.txt
00045,agree,noted,or/clackamas/_unincorporated,R20,min_lot_sqft,7000,7000,square feet,inferred,unknown,"5,000 sq ft (triplex clause, a different housing type)","Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.",Section 845.01 is a general middle-housing standard that names no district; the 'no minimum' exception for VR-4/5 and VR-5/7 is written into the triplex clause only and does not reach the quadplex clause.,"or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00046,agree,noted,or/clackamas/_unincorporated,R20,max_height_ft,35,35,feet,inferred,unknown,"20 ft or the height of the primary dwelling, whichever is greater (accessory buildings larger than 500 sq ft only)","Maximum Building Height | All other buildings, including accessory dwelling units: 35 feet","Each column prints two sub-cells and the cited one is 'All other buildings', which is the one a fourplex falls under; no zone header row is visible but every column reads 35 feet.","or/clackamas/_unincorporated/zdo.315.txt#L1169,L1183",or/clackamas/_unincorporated/zdo.315.txt
00047,agree,noted,or/clackamas/_unincorporated,R20,setback_front_ft,15,15,feet,inferred,unknown,20 ft to garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]","No zone header row is in the passage so the R20 column cannot be confirmed, but all eight cells under Minimum Front Setback are identical; footnote [7] is not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1193,or/clackamas/_unincorporated/zdo.315.txt
00048,agree,noted,or/clackamas/_unincorporated,R20,setback_garage_entrance_ft,20,20,feet,inferred,unknown,15 ft general front setback for non-garage walls,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]",The 20 ft is the 'except ... to garage and carport motor vehicle entries' clause inside the front-setback row; no zone header is visible but all eight cells are identical; footnote [7] is not shown.,or/clackamas/_unincorporated/zdo.315.txt#L1193,or/clackamas/_unincorporated/zdo.315.txt
00049,agree,noted,or/clackamas/_unincorporated,R20,setback_side_ft,5,5,feet,inferred,unknown,,"Minimum Side Setback | 5 feet[7,8,9,10,11]","The row label (L1204) is outside the passage window but the cited line sits in the run of eight identical 5-foot cells that follows it; no zone header is visible; footnotes [7,8,9,10,11] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1211,or/clackamas/_unincorporated/zdo.315.txt
00050,agree,noted,or/clackamas/_unincorporated,R20,setback_rear_ft,20,20,feet,inferred,unknown,,"Minimum Rear Setback | 20 feet[7,8,9,10,11]","The row label (L1195) is outside the passage window but the cited line sits in the run of eight identical 20-foot cells that precedes Minimum Side Setback; no zone header is visible; footnotes [7,8,9,10,11] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1202,or/clackamas/_unincorporated/zdo.315.txt
00051,agree,noted,or/clackamas/_unincorporated,R20,max_coverage_pct,50,50,percent,inferred,unknown,,"Maximum Lot Coverage | 50 percent[5,6]","The row label (L1160) is outside the passage window but the cited line sits in the run of eight identical 50-percent cells that precedes Maximum Building Height; no zone header is visible; footnotes [5,6] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1167,or/clackamas/_unincorporated/zdo.315.txt
00052,agree,noted,or/clackamas/_unincorporated,R30,min_lot_sqft,7000,7000,square feet,inferred,unknown,"5,000 sq ft (triplex clause, a different housing type)","Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.",Section 845.01 is a general middle-housing standard that names no district; the 'no minimum' exception for VR-4/5 and VR-5/7 is written into the triplex clause only and does not reach the quadplex clause.,"or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00053,agree,noted,or/clackamas/_unincorporated,R30,max_height_ft,35,35,feet,inferred,unknown,"20 ft or the height of the primary dwelling, whichever is greater (accessory buildings larger than 500 sq ft only)","Maximum Building Height | All other buildings, including accessory dwelling units: 35 feet","Each column prints two sub-cells and the cited one is 'All other buildings', which is the one a fourplex falls under; no zone header row is visible but every column reads 35 feet.","or/clackamas/_unincorporated/zdo.315.txt#L1169,L1185",or/clackamas/_unincorporated/zdo.315.txt
00054,agree,noted,or/clackamas/_unincorporated,R30,setback_front_ft,15,15,feet,inferred,unknown,20 ft to garage and carport motor vehicle entries,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]",The row label (L1186) is outside the passage window but the cited line is the last of eight identical cells before Minimum Rear Setback; no zone header is visible; footnote [7] is not shown.,or/clackamas/_unincorporated/zdo.315.txt#L1194,or/clackamas/_unincorporated/zdo.315.txt
00055,agree,noted,or/clackamas/_unincorporated,R30,setback_garage_entrance_ft,20,20,feet,inferred,unknown,15 ft general front setback for non-garage walls,"Minimum Front Setback | 15 feet, except 20 feet to garage and carport motor vehicle entries[7]",The 20 ft is the 'except ... to garage and carport motor vehicle entries' clause inside the front-setback row; the row label is outside the window; no zone header is visible; footnote [7] is not shown.,or/clackamas/_unincorporated/zdo.315.txt#L1194,or/clackamas/_unincorporated/zdo.315.txt
00056,agree,noted,or/clackamas/_unincorporated,R30,setback_side_ft,5,5,feet,inferred,unknown,,"Minimum Side Setback | 5 feet[7,8,9,10,11]","The row label (L1204) is outside the passage window but the cited line is the last of eight identical 5-foot cells before the accessory-building row; no zone header is visible; footnotes [7,8,9,10,11] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1212,or/clackamas/_unincorporated/zdo.315.txt
00057,agree,noted,or/clackamas/_unincorporated,R30,setback_rear_ft,20,20,feet,inferred,unknown,,"Minimum Rear Setback | 20 feet[7,8,9,10,11]","The row label (L1195) is outside the passage window but the cited line is the last of eight identical 20-foot cells before Minimum Side Setback; no zone header is visible; footnotes [7,8,9,10,11] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1203,or/clackamas/_unincorporated/zdo.315.txt
00058,agree,noted,or/clackamas/_unincorporated,R30,max_coverage_pct,50,50,percent,inferred,unknown,,"Maximum Lot Coverage | 50 percent[5,6]","The row label (L1160) is outside the passage window but the cited line is the last of eight identical 50-percent cells before Maximum Building Height; no zone header is visible; footnotes [5,6] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1168,or/clackamas/_unincorporated/zdo.315.txt
00059,agree,noted,or/clackamas/_unincorporated,VR57,min_lot_sqft,7000,7000,square feet,inferred,unknown,"no minimum (the VR-5/7 exception at L5, but it is written into the triplex clause, not the quadplex clause) | 5,000 sq ft (triplex clause)","Minimum Lot Size: The subject lot shall be a minimum of: ... 2 7,000 square feet for a quadplex or a cottage cluster.","L5 says 'except in the VR-4/5 and VR-5/7 Districts, where there is no minimum' but that exception belongs to the triplex clause; the quadplex clause at L7 carries no district exception, so 7,000 reads as applying to VR-5/7.","or/clackamas/_unincorporated/zdo.845.txt#L3,L7",or/clackamas/_unincorporated/zdo.845.txt
00060,agree,noted,or/clackamas/_unincorporated,VR57,max_height_ft,35,35,feet,clear,True,,Standard | VR-5/7 | VR-4/5 | VTH ... Maximum Building Height | 35 feet[9] | 35 feet[9] | 35 feet[9],Footnote [9] is not shown.,or/clackamas/_unincorporated/zdo.315.txt#L1320-L1323,or/clackamas/_unincorporated/zdo.315.txt
00061,agree,noted,or/clackamas/_unincorporated,VR57,setback_front_ft,10,10,feet,inferred,True,19.5 ft to the garage door/carport motor vehicle entry for a dwelling with a non-recessed garage/carport,Minimum Front Setback | 10 feet for a dwelling with a recessed garage/carport or no garage/carport; 19½ feet to the garage door/carport motor vehicle entry for a dwelling with a non-recessed,"First of three values under the VR-5/7 header; the 10 ft applies only to a dwelling with a recessed garage/carport or no garage/carport; footnotes [9,10,11,12,13,14] are not shown.",or/clackamas/_unincorporated/zdo.315.txt#L1324-L1327,or/clackamas/_unincorporated/zdo.315.txt
