layer,ref,mentions,binding,sources,sample,ruling
or/multnomah/_unincorporated,30,2,0,33.110.txt,median family income or an affordability level established by Title 30 is stated in Table,
or/multnomah/_unincorporated,321.257,2,0,39.muf.txt,"under ORS Chapter 321.257, a",
or/multnomah/_unincorporated,33.120.280,2,0,33.140.txt,structures are subject to the multi -dwelling zone standards of 33.120.280. The setback,
or/multnomah/_unincorporated,33.299,2,0,33.110.txt 33.140.txt,"5.                                                    Small wind turbines are subject to the standards of Chapter 33.299, Wind Turbines.",
or/multnomah/_unincorporated,33.677.300,2,0,33.110.txt,"through a property line adjustment under 33.677.300.A.4. or 33.677.300.C. are 36 ft. wide and 1,600",
or/multnomah/_unincorporated,39.3080,2,0,39.mua-20.txt,"(A) Except as provided in MCC 39.3080,",
or/multnomah/_unincorporated,39.8925,2,0,39.efu.txt 39.mua-20.txt,agri-tourism event subject to MCC 39.8925.,
or/multnomah/_unincorporated,39.8930,2,0,39.efu.txt 39.mua-20.txt,subject to MCC 39.8930.,
or/multnomah/fairview,19.162.030,2,0,19.13.definitions.txt 19.70.txt,“Multi-use pathway” means pathways for pedestrian and bicycle use. See FMC 19.162.030(A)(4). (Ord. 1-2024 § 1 (Att. A); Ord. 1-2022 § 1 (Att. A); Ord. 9-2019 § ,
or/multnomah/fairview,19.440,2,0,19.30.txt 19.65.txt,"1. Development Site Area. The maximum development site area shall be eight acres, except that this standard shall not apply to parks and open space uses. Larger",
or/multnomah/gresham,3.0239,2,0,4.1100.downtown.txt 7.0500.rockwood-design.txt,"be designed as a permanent and                                                                       Outdoor Commercial uses as deﬁned in Section 3.0239,  a re",
or/multnomah/gresham,36.3525,2,0,4.1500.springwater.txt,"as Orient Commercial-Industrial (OCI), those uses allowed under Section 36.3525 of the adopted West of Sandy River",
or/multnomah/gresham,4.114,2,0,4.1100.downtown.txt,"For each street type in Section 4.114         2, the standards provide a list of possible features to include within the amenity",
or/multnomah/gresham,4.1531-4.1534,2,0,4.1500.springwater.txt,O. Master Plan Requirements (Section 4.1531-4.1534),
or/multnomah/gresham,5.0100,2,0,3.0100.definitions.txt,Section 5.0100 Floodplain Overlay District.,
or/multnomah/gresham,5.0300,2,0,4.0100.residential.txt 7.0500.rockwood-design.txt,"C.                              Except as provided by Section 5.0300, the Manager may approve alterations to existing single detached",
or/multnomah/gresham,6.0212,2,0,7.0400.middle-housing-design.txt,have exceeded the exemption period identified in Section 6.0212            .,
or/multnomah/gresham,7.0430,2,0,4.1100.downtown.txt 4.1200.civic-neighborhood.txt,c.                                 Section 7.0430 Townhouse Design Standards,
or/multnomah/gresham,9.0800,2,0,3.0100.definitions.txt 4.1100.downtown.txt,"Parking Space. A minimum gross area available for the parking of a vehicle, as identified in Section 9.0800.",
or/multnomah/portland,17.88.040,2,0,33.120.txt 33.130.txt,"Bureau of Transportation. See Section 17.88.040, Through Streets, of the Portland City",
or/multnomah/portland,29.30.160,2,0,33.910.definitions.txt,"29.30.160 of Title 29, Property and Maintenance Regulations. The unit may have a separate",
or/multnomah/portland,33.258.038,2,0,33.130.txt,"Subsection 33.258.038.B. If the applicant provides standard evidence from the list, the",
or/multnomah/portland,33.677.300,2,0,33.110.txt,"through a property line adjustment under 33.677.300.A.4. or 33.677.300.C. are 36 ft. wide and 1,600",
or/multnomah/portland,33.930.100,2,0,33.110.txt 33.120.txt,width for a cottage cluster is measured as lot width is measured. See 33.930.100.,
or/multnomah/portland,571.3,2,0,33.910.definitions.txt,"Title 49 of the Code of Federal Regulations, Chapter V, Section 571.3.   See also Recreational",
or/multnomah/troutdale,14,2,0,1.020.definitions.txt,list of Critical Facilities for the purposes of Chapter 14:,
or/multnomah/troutdale,4.230,2,0,1.020.definitions.txt,Section 4.230 of this Code.,
or/multnomah/troutdale,6.900,2,0,8.development-standards.txt,opment Review land use application in accordance with Section 6.900 of this Code.,
or/multnomah/wood-village,235.450,2,0,235.410.txt 235.420.txt,B. Utilization of Diagram. The Building and Façade Standards by Street Type Table 235-5 outlines the building and façade standards applicable to individual parc,
or/multnomah/wood-village,345,2,0,230.315.txt,(2) Food Pod. A food pod with four (4) or more mobile food units which meets the requirements of Section 345 and includes a pedestrian access plaza which meets ,
or/multnomah/wood-village,350.045,2,0,235.390.txt,"B. Shared Parking. In addition, parking requirements in the Town Center Zone may be met by blending parking rates. Calculating parking stalls for a use may incl",
or,0.5,1,0,33.130.txt,Affordable Commercial Space                                                                  FAR                                    0.5 to 1                    ,
or,02.16.6,1,0,17.zoning.txt,Oregon City Supp. No. 44 4 02.16.6,
or,1.013,1,0,4.planning.txt,"ordinance constitutes a violation punishable as a separate infraction under WC 1.013. In addition,",
or,1.04.070,1,0,17.zoning.txt,"1.04.070 and shall be based on calendar days, not business",
or,1.050,1,0,rldo.composite.txt,Section 1.050.  Definitions.  As used in this ordinance the masculine includes the feminine and the,
or,1.1312,1,0,16.12.definitions.txt,"As defined by the Federal Communications Commission (CFR 1.1312.e.2), facilities that meet the following conditions:",
or,1.1320,1,0,16.12.definitions.txt,The facilities are mounted on structures 50 feet or less in height including their antennas (as defined in CFR 1.1320.d);,
or,1.16,1,0,17.zoning.txt,"of Chapters 1.16, 1.20 and 1.24. (Ord. 99-1004 §30, 1999:",
or,1.2307,1,0,16.12.definitions.txt,The facilities do not result in human exposure to radio-frequency radiation in excess of applicable safety standards specified in CFR 1.2307.b.,
or,10.015,1,0,1.020.definitions.txt,Sign. Refer to Section 10.015 for all definitions for signs.,
or,10.03,1,0,zdo.202.definitions.txt,"SOLID WASTE: As defined in Chapter 10.03, Solid Waste and Wastes Management, of the Clackamas County Code.",
or,10.0430,1,0,4.0400.corridor.txt,10.0420; conversion of a building from commercial use to residential use is permitted pursuant to Section 10.0430.,
or,10.0500,1,0,3.0100.definitions.txt,"Building Code.  The City of Gresham Building Code as adopted in the Gresham Revised Code, Article 10.0500.",
or,10.1100,1,0,4.0100.residential.txt,12.           Also see Section 10.1100 for shoreline height standards.,
or,10.1300,1,0,4.0400.corridor.txt,1.                                  Temporary health hardship dwellings may be permitted per Section 10.1300.,
or,10.1400,1,0,3.0100.definitions.txt,"The following definitions apply to Section 10.1400          , Temporary, Intermittent,                              and Interim Uses.",
or,10.1711,1,0,7.0400.middle-housing-design.txt,2.                             Affordable housing eligible for a building height bonus (Section 10.1711(H)) and subject to the rear,
or,10.313,1,0,4.0300.industrial.txt,This section of the Community Development Code implements  Section 10.313 -                          Industrial Land Use within,
or,1000,1,0,zdo.315.txt,"Permitted uses are subject to the applicable provisions of Subsection 315.04, Dimensional and Building Design Standards; Section 1000, Development Standards; an",
or,1002.04,1,0,zdo.202.definitions.txt,STREAM CORRIDOR AREA: An area including the streambed and a required strip or buffer of land on each side of the streambed necessary to maintain streamside amen,
or,1002.06,1,0,zdo.1012.txt,Wetlands and required buffer areas regulated by Subsection 1002.06 or another public agency.,
or,1010,1,0,zdo.315.txt,"Signs, subject to Section 1010",
or,1010.13,1,0,zdo.315.txt,Temporary signs regulated under Subsection 1010.13(A) are a primary use.,
or,1011.04,1,0,zdo.1012.txt,Park Dedication: Land will be dedicated as a park and accepted by a government agency pursuant to Subsection 1011.04.,
or,1012.06,1,0,zdo.1012.txt,"If this Ordinance establishes a district land area (DLA) for the applicable zoning district, the proposed development shall be limited to a maximum density. Exc",
or,11.0502,1,0,3.0100.definitions.txt,"11.0402, Section 11.0502, Section 11.0903                            and Section 11.1013 that is characterized by:",
or,11.0903,1,0,3.0100.definitions.txt,"11.0402, Section 11.0502, Section 11.0903                            and Section 11.1013 that is characterized by:",
or,11.1013,1,0,3.0100.definitions.txt,"11.0402, Section 11.0502, Section 11.0903                            and Section 11.1013 that is characterized by:",
or,11.60.030,1,0,33.130.txt,Specifications of Title 11 (Section 11.60.030). Large canopy trees are defined in,
or,1100,1,0,zdo.315.txt,"Permitted uses are subject to the applicable provisions of Subsection 315.04, Dimensional and Building Design Standards; Section 1000, Development Standards; an",
or,1105.03,1,0,zdo.315.txt,"In a planned unit development, there are no minimum rear and side setbacks except from rear and side lot lines on the perimeter of the final plat. In a zero-lot",
or,1113,1,0,17.zoning.txt,"Disabilities Act, or as specified in Section 1113 of the",
or,112,1,0,33.910.definitions.txt,"Compensation and Liability Act (CERCLA) and Section 112(r) of the Clean Air Act, published",
or,12.08.050,1,0,17.zoning.txt,tions of OCMC 12.08.050. Where a grouping of two or more,
or,12.14,1,0,19.500.supplementary.txt,"No accessory structure shall encroach upon or interfere with the use of any adjoining property or public right-of-way, including, but not limited to, streets, a",
or,12.32.020,1,0,17.zoning.txt,"fined in OCMC 12.32.020, all or more than thirty percent of",
or,13.04,1,0,17.zoning.txt,"3. Chapter 13.04, Water Service System.",
or,1307,1,0,zdo.1012.txt,"Replats reviewed as a Type II application pursuant to Section 1307, Procedures;",
or,14.035,1,0,1.020.definitions.txt,development in any Special Flood Hazard Area (100-year Floodplain). See Section 14.035 of this,
or,14.16.040,1,0,19.300.base-zones.txt,Subsection 14.16.040 Commercial Zones,
or,14.16.050,1,0,19.300.base-zones.txt,Subsection 14.16.050 Commercial Zone,
or,15.12.050,1,0,16.42.landscaping.txt,"A Tree Removal Plan. The plan shall identify each tree to be removed, describe protective fencing or markings around other trees or spaces to protect surroundin",
or,15.48,1,0,17.zoning.txt,fined in OCMC 15.48.,
or,16.08,1,0,17.zoning.txt,to OCMC 16.08 . 065 .,
or,16.08.053,1,0,17.zoning.txt,pursuant to OCMC 16.08.053.,
or,16.08.065,1,0,17.zoning.txt,to OCMC 16.08.065.,
or,16.1,1,0,17.zoning.txt,traffic safety and meet requirements of OCMC 16.1 2. 035.,
or,16.13.020,1,0,16.42.landscaping.txt,Each day's violation of any provision of this section constitutes a separate offense. Each individual tree removed in violation of the requirements of this sect,
or,16.21,1,0,16.12.definitions.txt,"The following definitions are organized alphabetically and some related terms are also grouped together and cross-referenced under group leadings (e.g., Lot Typ",
or,16.24,1,0,17.zoning.txt,divisions are subject to the requirements of OCMC 16.24.,
or,16.32.042,1,0,19.200.definitions.txt,"means the trimming or removal of 20% or more of the live crown, or removal of or injury to roots within a radial distance from the tree of six times the tree’s ",
or,16.32.090,1,0,16.63.land-divisions.txt,No density is allowed within constrained land except for the reduced rate within the Steep Slopes Development Overlay Zone and the Natural Resources Overlay Zon,
or,16.34.010,1,0,16.63.land-divisions.txt,Any site larger than two acres where a minimum of 10% of the site contains environmentally constrained areas subject to Chapters 16.35 and/or Sections 16.34.010,
or,16.34.050,1,0,16.63.land-divisions.txt,No density is allowed within constrained land except for the reduced rate within the Steep Slopes Development Overlay Zone and the Natural Resources Overlay Zon,
or,16.34.080,1,0,16.63.land-divisions.txt,Any site larger than two acres where a minimum of 10% of the site contains environmentally constrained areas subject to Chapters 16.35 and/or Sections 16.34.010,
or,16.35,1,0,16.63.land-divisions.txt,Any site larger than two acres where a minimum of 10% of the site contains environmentally constrained areas subject to Chapters 16.35 and/or Sections 16.34.010,
or,16.44,1,0,16.12.definitions.txt,A dwelling unit which is fabricated in one or more sections at a location other than the home site by assembly line-type production techniques or by other const,
or,16.44.010,1,0,16.42.landscaping.txt,"Exemptions. The standards of this section do not apply to PUDs subject to the open space requirements of Section 16.63.130(H)(1), or to multifamily housing subj",
or,16.44.055,1,0,16.42.landscaping.txt,Fences and walls shall comply with Section 16.44.055.,
or,16.44.130,1,0,16.12.definitions.txt,A grouping of no less than four detached buildings per gross acre on a lot designed or used exclusively for the occupancy of separate families living independen,
or,16.50.060,1,0,16.42.landscaping.txt,"A Tree Removal Plan. The plan shall identify each tree to be removed, describe protective fencing or markings around other trees or spaces to protect surroundin",
or,16.50.100,1,0,16.63.land-divisions.txt,All cuts and fills shall comply with the standards and provisions in Section 16.50.100.,
or,16.50.110,1,0,16.42.landscaping.txt,Required Tree Plantings. The street tree requirements in 16.50.110 shall be met.,
or,16.61.020,1,0,16.63.land-divisions.txt,Submission Requirements. All applications for property line adjustment shall be made on forms provided by the City and shall include information required for a ,
or,16.61.050,1,0,16.12.definitions.txt,"A legislative action or decision is the making of law, as opposed to the application of existing law to a particular use (e.g., adoption of, or amendment to, a ",
or,16.61.060,1,0,16.63.land-divisions.txt,Public Facilities and Services Impact Study. The impact study shall quantify and assess the effect of the development on public facilities and services. The Cit,
or,16.61.070,1,0,16.12.definitions.txt,A partition or subdivision of a lot or parcel on which the development of middle housing is allowed under ORS 197.758(2) and the partition or subdivision is pro,
or,16.61.090,1,0,16.63.land-divisions.txt,Traffic Impact Study. Traffic impact studies shall conform to the standards and procedures in Section 16.61.090.,
or,16.62.040,1,0,16.12.definitions.txt,The partial development of any lands through the procedures contained in Section 16.62.040(D) or 16.63.040(E).,
or,16.65,1,0,16.63.land-divisions.txt,"Lot Size Averaging. Single-family residential lot size may be averaged to allow lots less than the minimum lot size in residential districts, as provided by Sec",
or,16.66,1,0,16.63.land-divisions.txt,Modifications. The applicant may request changes to the approved preliminary plat or conditions of approval following the procedures and criteria provided in Ch,
or,16.7,1,0,16.63.land-divisions.txt,"The proposed preliminary plat complies with the applicable Development Code sections and all other applicable ordinances and regulations. At a minimum, the prov",
or,16.85.050,1,0,19.65.txt,"1. New land divisions and developments with more than one building, which are subject to site design review, shall be configured to provide an alley or interior",
or,1604.06,1,0,16.22.residential.txt,"The front yard setback shall be no less than the front façade of the primary dwelling unit (not including porches, bays, garages, and architectural features). G",
or,17.04.147,1,0,17.zoning.txt,"2020, set out provisions intended for use as§ 17.04.147. For",
or,17.107,1,0,33.266.txt,2.                                                   Meet the objective standards of Title 17.107  as verified by the Portland Bureau of,
or,17.18.020,1,0,17.12.r-5.txt,(7) Mixed-use development within Gladstone Town Center. Commercial uses permitted in the mixed-use development include those listed as permitted in the C-2 zoni,
or,17.28.110,1,0,33.266.txt,"areas for compliance with the curb cut and access restrictions of Section 17.28.110,",
or,17.38.020,1,0,17.06.definitions.txt,“Residential planned unit development” means a residential (R) planned unit development as allowed under GMC Chapter 17.38 (Planned Unit Development) and is at ,
or,17.44.020,1,0,17.zoning.txt,"b. Unstable slopes, as defined in OCMC 17.44.020,",
or,17.49.080.0.4,1,0,17.zoning.txt,tion pursuant to OCMC 17.49.080.0.4.,
or,17.49.100--17.49.170,1,0,17.zoning.txt,NROD development standards in OCMC 17.49.100--17.49.170.,
or,17.49.220--17.49.230,1,0,17.zoning.txt,"by OCMC 17.49.220--17.49.230, and 17.50.080 as well as a",
or,17.76.040,1,0,17.06.definitions.txt,"“Front lot line” means a lot line separating a lot from a street other than an alley. In the case of a corner lot, either of the lot lines separating the lot fr",
or,17.80.030--17.80.050,1,0,17.zoning.txt,"facility that, pursuant to Sections 17.80.030--17.80.050,",
or,174,1,0,31.definitions.txt,"statutory construction under ORS Chapter 174, as interpreted by Oregon courts, apply to the",
or,19.1004,1,0,19.300.base-zones.txt,Minor modifications will be evaluated through either a Type I or Type II review per Section 19.1004 or 19.1005. The City Manager or designee will determine the ,
or,19.110,1,0,19.115.txt,"All uses shall comply with the standards in this chapter and any other applicable Fairview Village standards in Chapters 19.110 through 19.155 FMC, together wit",
or,19.164,1,0,19.13.definitions.txt,"“Off-street parking” means all off-street areas designed, used, required or intended to be used for the parking of motor vehicles. Off-street parking areas shal",
or,19.164.030,1,0,19.65.txt,ii. If the number of vehicle parking spaces on the site exceeds the maximum number of spaces allowed in transit/pedestrian areas as provided in FMC 19.164.030(D,
or,19.30.130,1,0,19.13.definitions.txt,“Multi-unit dwelling” means a building containing five or more dwelling units or five or more dwelling units in two or more buildings. Multi-unit dwellings are ,
or,19.312.7.1,1,0,19.300.base-zones.txt,Figure 19.312.7.1 Key Streets,
or,19.402.14,1,0,19.200.definitions.txt,"Minimum required and maximum allowed dwelling unit density will be calculated as described below, except that residential cluster development on lands containin",
or,19.402.15,1,0,19.200.definitions.txt,"means the area of setback between the top of the bank of a Protected water feature, or the edge of a delineated wetland, and the edge of the water quality resou",
or,19.430,1,0,19.85.txt,3. Land Division Standards. Properties in the general industrial district that are identified as industrial lands as shown on the Title 4 Properties Map in the ,
or,19.450,1,0,19.30.txt,"1. Development Site Area. The maximum development site area shall be eight acres, except that this standard shall not apply to parks and open space uses. Larger",
or,19.530,1,0,19.13.definitions.txt,"“Nonconforming use/nonconforming development” means a land use/structure that exists which would not be permitted by the regulations imposed by the code, but wa",
or,19.605.1,1,0,19.300.base-zones.txt,"If off-street parking is provided for residential or nonresidential uses, the parking maximums in Table 19.605.1 will apply. All other applicable standards of C",
or,19.605.4,1,0,19.500.supplementary.txt,"No lot area, yard, or other open space or off-street parking or loading area which is required by this title for one use shall be used to meet the required lot ",
or,19.708,1,0,19.500.supplementary.txt,"In reviewing a proposed preliminary circulation plan, the Planning Director shall find compliance with the relevant portions of the Comprehensive Plan, Transpor",
or,19.902,1,0,19.300.base-zones.txt,It shall at the same time recommend the change to PD Zone in accordance with the provisions of Section 19.902. The approved final development plan and program s,
or,19.904.3,1,0,19.500.supplementary.txt,The installation of a solar energy system on a structure that has been designated as a Conditional Use or a Community Service Use is exempt from the reviews of ,
or,19.904.8,1,0,19.300.base-zones.txt,"Residential care facility Examples include: assisted living, nursing facilities, and memory care communities  CSU                                               ",
or,19.905.3,1,0,19.500.supplementary.txt,The installation of a solar energy system on a structure that has been designated as a Conditional Use or a Community Service Use is exempt from the reviews of ,
or,19.906.2,1,0,19.500.supplementary.txt,A Type I development review permit may be required for installation of a solar energy system depending upon the applicability criteria in Subsection 19.906.2.A.,
or,19.907.2,1,0,19.500.supplementary.txt,Design standards and guidelines for development in downtown Milwaukie are applied through downtown design review as established in Section 19.907. Projects subj,
or,19.908,1,0,19.300.base-zones.txt,Extensions to the approved time schedule are permitted subject to Subsection 19.908.,
or,1D,1,0,rldo.composite.txt,construction pursuant to the Uniform Building Code Section 1D4 (e); arid,
or,2.020,1,0,rldo.composite.txt,Section 2.020.  Consistency with Plan and Laws.  Development under this ordinance shall be,
or,2.050,1,0,rldo.composite.txt,Section 2.050.  Use of a Development.  A development may be used only for a lawful use.  A,
or,2.060,1,0,rldo.composite.txt,Section 2.060.  Continuation of a Nonconforming Development.  Except as provided in Section,
or,2.070,1,0,rldo.composite.txt,Section 2.070.  Completion of a Nonconforming Development.  A development that is lawfully,
or,2.080,1,0,rldo.composite.txt,Section 2.080.  Termination of a Nonconforming Development.  A nonconforming development or,
or,2.090,1,0,rldo.composite.txt,Section 2.090.  Timeline for Development Permit Review/Decision.  Development permit review,
or,2.560,1,0,4.planning.txt,"forth in Section 2.560 of the Wilsonville Code, or as otherwise amended by City Council action.",
or,20,1,0,39.cfu.txt,Division 20) and not from a Class 1 stream as,
or,20.04.020,1,0,19.500.supplementary.txt,"Provide a public art mural or original art mural, as defined in Section 20.04.020, over at least 50% of the blank wall surface.",
or,21,1,0,16.42.landscaping.txt,"Removal of a tree in violation of this section is declared to be a public nuisance, and may be abated by appropriate proceedings pursuant to City Charter Sectio",
or,227.175.10,1,0,17.zoning.txt,"II decision, which shall be limited by ORS 227.175.10.b .",
or,23,1,0,39.2000.definitions.txt,Chapter 23 of the Multnomah County,
or,230.350,1,0,230.310.txt,(See Sections 230.350 and 330),
or,235.455,1,0,235.420.txt,E. Public Plazas. Public plazas are required as shown in Figure 235-1 subject to the provisions of Section 235.455.,
or,235.490,1,0,235.420.txt,F. Modifications. The requirements of this section are subject to the modification provisions in Section 235.490(C)(3). (Ord. 3-2021 § 1 (Exh. A)),
or,261.33,1,0,zdo.202.definitions.txt,"Resource Conservation and Recovery Act (RCRA) of 1976 and 1984 Amendments, Hazardous Wastes List (P & U Categories) (40 C.F.R Section 261.33(e) and (f)); and",
or,271,1,0,16.63.land-divisions.txt,"Procedure. All applications for a re-plat or vacation of a plat shall be processed in accordance with the procedures and standards for a plat vacation, street v",
or,28.040,1,0,02.definitions.txt,"Development. Any manmade change defined as the construction of buildings or other structures, mining, dredging, paving, filling, grading or site clearing, and g",
or,29.20.010,1,0,33.266.txt,"discarded vehicles is regulated by Section 29.20.010 of Title 29, Property and",
or,3-5,1,0,36.400-420.lot-dimensions.txt,"Quality Control Facilities identified by TDC Chapters 71, 72, and TMC Chapter 3-5 Surface",
or,3.01,1,0,3.0100.definitions.txt,See also Overlay District D          efinitions in Section 3.01           20 for specific applications of this term in those areas.,
or,3.0204,1,0,3.0100.definitions.txt,"which the premises exists. See also Section 3.0204         , Classifying a Use.",
or,3.0220,1,0,3.0100.definitions.txt,"Residential Facility.                        See Residential Facility Land Use Classification, Section 3.0220       .",
or,3.0221,1,0,3.0100.definitions.txt,"Residential Home. See Residential Home Land Use Classification, Section 3.0221.",
or,3.0222,1,0,3.0100.definitions.txt,levels. The income levels are specific to each section pertaining to affordable housing. s          ee Section 3.0222,
or,3.07,1,0,02.definitions.txt,UGMFP    Urban Growth Management Functional Plan (Metro Code Chapter 3.07),
or,3.07.1130,1,0,zdo.1012.txt,"Limitation: Notwithstanding Subsections 1012.02(C) through (F), the minimum lot size inside the Portland Metropolitan Urban Growth Boundary is 20 acres in the F",
or,3.070,1,0,rldo.composite.txt,Section 3.070.  Powers and Duties.  The Commission shall have the powers and duties which are,
or,3.080,1,0,rldo.composite.txt,Section 3.080.  Hearings Officer.  The Planning Commission may refer such land use matters as,
or,3.090,1,0,rldo.composite.txt,Section 3.090.  Interpretation of the Land Development Code.  It is the duty of the Planning,
or,3.175,1,0,3.zoning-districts.txt,regulated by Subsection 3.175(D) of this Code.,
or,3.20,1,0,17.zoning.txt,charges under Chapter 3.20 .,
or,3.65,1,0,19.500.supplementary.txt,Green building is the practice of creating structures and using processes that are environmentally responsible and resource-efficient throughout a building's li,
or,3.75,1,0,33.150.txt,Maximum FAR with Inclusionary Housing Bonus [1]                                                                                                                 ,
or,3.96.060,1,0,33.910.definitions.txt,"Life pursuant to City Code 3.96.060, and organizations participating in Civic Life          ’s Diversity and Civic",
or,302,1,0,zdo.202.definitions.txt,"Superfund Amendments and Reauthorization Act (SARA) of 1986, Section 302 Extremely Hazardous Substances List (40 C.F.R 355, App. A and B);",
or,302-304,1,0,3.0100.definitions.txt,"Development, as set forth in 24 C.F.R. Chapter 1, Part 100, Sections 302-304.",
or,31.076,1,0,31.definitions.txt,Council pursuant to the provisions of TDC 31.076 and 31.077.,
or,312.7.1,1,0,19.300.base-zones.txt,The following design standards apply to all uses in the MUTSA Zone and in the NME Zone on properties located on the following key streets and key corners: McBro,
or,313,1,0,zdo.202.definitions.txt,"SARA of 1986, Section 313, Toxic Chemicals List (40 C.F.R Section 372.65);",
or,315.04,1,0,zdo.315.txt,"Permitted uses are subject to the applicable provisions of Subsection 315.04, Dimensional and Building Design Standards; Section 1000, Development Standards; an",
or,321.705,1,0,39.muf.txt,"ORS Chapter 321.705, a Western",
or,33.207,1,0,33.120.txt,may require a conditional use review. See Chapter 33.207.,
or,33.229,1,0,33.910.definitions.txt,"Disabled Person. For the purposes of Chapter 33.229, Elderly and Disabled High Density Housing, a",
or,33.262,1,0,33.266.txt,5.                                                   The off-site impact standards of Chapter 33.262 are met.,
or,33.470,1,0,33.910.definitions.txt,"weighting applied to night time sound levels. The Ldn noise contours described in Chapter 33.470,",
or,33.612,1,0,33.120.txt,"size standards listed in Chapter 33.612, Lots in Multi-         Dwelling Zones.",
or,33.654.150,1,0,33.910.definitions.txt,"tract. Where allowed by Section 33.654.150, Ownership, Maintenance, and Public Use of Rights-Of-",
or,33.700.070,1,0,33.910.definitions.txt,Information about the use of terms in the zoning code is contained in 33.700.070.D.,
or,33.854,1,0,33.130.txt,Review and Design Review (see Chapter 33.270 and Chapter 33.854).                                    The site must be at,
or,330,1,0,220.320.txt,"(2)Percent site area. See Section 330, Landscaping and Screening, for landscape standards.",
or,34.010,1,0,40-41.residential.txt,to TDC 34.010 to 34.030.,
or,34.020,1,0,40-41.residential.txt,Facility subject to TDC 34.020 and TDC,
or,34.030,1,0,25.willamette-historic.txt,"d. The conversion of an existing structure is not required to meet the design standards in CDC 34.030, but it must conform to all applicable requirements of thi",
or,340,1,0,4.planning.txt,"Quality definition of water quality limited water body in OAR Chapter 340, Division",
or,340.020,1,0,220.310.txt,Manufactured Home Park (See Section 340.020)  N    Y,
or,36.120,1,0,36.400-420.lot-dimensions.txt,subdivision standards in TDC 36.120 and not the Housing Clear and Objective Standards in TDC,
or,36.3527,1,0,4.1500.springwater.txt,would apply. Permitted uses are not required to meet approval criteria of West of Sandy Plan Section 36.3527.,
or,372.65,1,0,zdo.202.definitions.txt,"SARA of 1986, Section 313, Toxic Chemicals List (40 C.F.R Section 372.65);",
or,39.1600,1,0,39.2000.definitions.txt,established under MCC 39.1600.,
or,39.200,1,0,31.definitions.txt,in Section 39.200 and Group Living in Section 39.210).,
or,39.210,1,0,31.definitions.txt,in Section 39.200 and Group Living in Section 39.210).,
or,39.3160,1,0,39.uf-20.txt,"(A) Except as provided in MCC 39.3160(B),",
or,39.4037,1,0,39.c-3.txt,in compliance with MCC 39.4037.,
or,39.4930,1,0,39.mr-4.txt,subject to the provisions of MCC 39.4930.,
or,39.4955,1,0,39.mr-4.txt,satisfy the approval criteria of MCC 39.4955.,
or,39.5000,1,0,39.2000.definitions.txt,"(MCC 39.5000 – 39.5055) only, the term",
or,39.7330,1,0,39.cfu.txt,39.7300 through MCC 39.7330.  For purposes of,
or,39.7575,1,0,39.efu.txt,39.7550 through MCC 39.7575; and,
or,39.7765,1,0,39.cfu.txt,through MCC 39.7765.,
or,39.8005,1,0,39.pd.txt,under the provisions of MCC 39.8005,
or,39.8025,1,0,39.pd.txt,as defined in MCC 39.8025 (C).,
or,39.8030,1,0,39.mr-4.txt,"under MCC 39.8030, the Planning Director may",
or,39.8040,1,0,39.pd.txt,(3) The criteria of MCC 39.8040 and the,
or,39.8045,1,0,39.pd.txt,standards of MCC 39.8045.,
or,39.8605,1,0,39.mr-4.txt,approval criteria of MCC 39.8605 and the,
or,39.8870,1,0,39.efu.txt,(F) A Farm Stands subject to MCC 39.8870,
or,39.8875,1,0,39.2000.definitions.txt,is defined in MCC 39.8875. Agri-tourism does,
or,39.8885,1,0,39.efu.txt,through MCC 39.8885.,
or,39.8900,1,0,39.efu.txt,"ORS 215.452, and subject to MCC 39.8900 –",
or,39.9610,1,0,39.mr-4.txt,as required under MCC 39.9610.,
or,4.040,1,0,rldo.composite.txt,Section 4.040.  Development Permit Application.  An application for a development permit shall,
or,4.050,1,0,rldo.composite.txt,Section 4.050.  Submission of Permit Application.  Application materials shall be submitted to the,
or,4.060,1,0,rldo.composite.txt,"Section 4.060.  Referral and Review of Permit Applications.  Upon acceptance of an application,",
or,4.070,1,0,rldo.composite.txt,Section 4.070.  Development Permit Decision.,
or,4.1.4,1,0,4.planning.txt,"addressing substantial compliance with Implementation Measures 4.1.4.b, d, e, q, and",
or,4.1230-4.1238,1,0,4.1200.civic-neighborhood.txt,Development standards are provided in Section          4.1230-4.1238. Guidelines and Standards for developments subject,
or,4.125.06,1,0,4.planning.txt,"of a building, or portion thereof. In the Village Zone, see Section 4.125.06, Standards",
or,4.125.09,1,0,4.planning.txt,"driveways. See section 4.125.09, Street Improvement Standards.",
or,4.125.15,1,0,4.planning.txt,"• See Section 4.125.15, Pattern Book for projects in Villebois.",
or,4.130,1,0,4.planning.txt,the purposes and objectives of Sections 4.130 to 4.140 and is subject to the following criteria:,
or,4.131.05,1,0,4.planning.txt,"9. Those uses that are listed as typically permitted in Section 4.131.05(.03), as well as",
or,4.134.10,1,0,4.planning.txt,and adjustment criteria in Section 4.134.10.,
or,4.150,1,0,4.planning.txt,(.04) The General Regulations listed in Sections 4.150 through 4.199 shall apply to all zones unless the,
or,4.155.03,1,0,4.planning.txt,plant materials. The ten percent parking area landscaping required by section 4.155.03(B)(1) is,
or,4.16.080,1,0,33.910.definitions.txt,"through Friday, excluding holidays as identified in Section 4.16.080 of Title 4, Personnel.",
