id,layer,field,path,line,section,nearness,repeats,text,stated,held,verdict,binds,reader_number,reader_standard,reader_about,reader_note
00010,or/clackamas/_unincorporated,setback_side_ft,or/clackamas/_unincorporated/zdo.315.txt,1570,315.04,same_field,1,"[16] If the side lot line abuts a residential zoning district other than HDR, SHD, or RCHDR, the minimum side setback is 15 feet.",15,5,missed,yes,15,minimum side setback (where the side lot line abuts certain residential districts),"minimum side setback (15 feet) where the side lot line abuts a residential zoning district other than HDR, SHD, or RCHDR","""the minimum side setback is 15 feet"" is a general condition-based standard (not limited to accessory structures or a specific housing type, unlike the neighboring footnotes 12 and 15), so it would apply to this building if the adjacent-zoning condition is met."
00011,or/clackamas/happy-valley,setback_street_side_ft,or/clackamas/happy-valley/16.22.residential.txt,1018,16.22.050,same_field,1,"The minimum front, rear, side and street side building setbacks for public and institutional uses in the SFA district is 20 feet. Cottage clusters shall have a perimeter setback of 10 feet in the MUR-","20,10","5,8,15",agree,no,,,"minimum setbacks (20 feet) for public and institutional uses in the SFA district, and a 10-foot perimeter setback for co","Both categories named -- ""public and institutional uses"" and ""Cottage clusters"" -- are different uses/building types from this residential four-unit building."
00012,or/clackamas/happy-valley,max_height_ft,or/clackamas/happy-valley/16.22.residential.txt,1130,16.22.050,same_field,1,"The detached accessory structure shall have a maximum building height of 25 feet or the building height of the primary dwelling, whichever is less.",25,"35,45,65",agree,no,,,"maximum height (25 feet or the primary dwelling's height, whichever is less) for a detached accessory structure","""The detached accessory structure shall have a maximum building height..."" governs a secondary structure, not the primary dwelling."
00013,or/clackamas/happy-valley,max_height_ft,or/clackamas/happy-valley/16.22.residential.txt,1146,16.22.050,same_field,1,"For structures greater than eight feet and up to 20 feet in height, the minimum side yard setbacks shall be zero on one side and three feet on the other side. The minimum rear yard setback where the r",20,"35,45,65",agree,no,,,minimum side and rear yard setbacks for accessory structures between 8 and 20 feet in height,This falls under the accessory-structure requirements introduced at 'For structures that exceed 100 square feet in area or eight feet in height' following the earlier accessory-structure provisions in the same subsection.
00014,or/clackamas/happy-valley,max_height_ft,or/clackamas/happy-valley/16.22.residential.txt,1150,16.22.050,same_field,1,"For structures greater than 20 feet in height, the minimum side yard setbacks shall be zero on one side and five feet on the other side. The minimum rear yard setback where the rear property line abut",20,"35,45,65",agree,no,,,minimum side and rear yard setbacks for accessory structures over 20 feet in height,"Continuation of the same accessory-structure setback list as the line above; governs a secondary structure, not the primary dwelling."
00015,or/clackamas/lake-oswego,min_lot_sqft,or/clackamas/lake-oswego/50.04.dimensional.txt,96,50.04.001.1,same_field,4,"3,000 sq. ft. + [(actual lot size – 5,800 sq. ft.) x 0.19]","3000,5800","1500,7000,7500,10000,15000",missed,yes,3000,maximum floor area,"maximum floor area formula for Single-Family, Duplex, Triplex, Quadplex, Cottage Cluster, and Townhouse developments in ","""3,000 sq. ft. + [(actual lot size - 5,800 sq. ft.) x 0.19]"" is the printed base-plus-formula; the surrounding table caption ('Single-Family, Duplex, Triplex, Quadplex, and Cottage Cluster Developments; Townhouse Projects') names Quadplex as a covered type, so this maximum-floor-area cap would bind the building, scaled by lot size."
00016,or/clackamas/lake-oswego,max_height_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,159,50.04.001.1,same_field,1,Height ≤ 18 ft.,18,"25,28,30,35",agree,no,,,row label ('Height <= 18 ft.') heading the Accessory Structure setback rows in the yard-setback table,"The line sits directly under the 'Accessory Structure' row group (front/side/rear setbacks), so it labels a height band for accessory structures, not the primary dwelling."
00017,or/clackamas/lake-oswego,max_height_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,168,50.04.001.1,same_field,1,Height > 18 ft.,18,"25,28,30,35",agree,no,,,row label ('Height > 18 ft.') heading the same Accessory Structure setback rows,"Same Accessory Structure section as the line above; a row label, not a standard for the primary dwelling."
00018,or/clackamas/lake-oswego,max_height_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,222,50.04.001.1,same_field,8,Lesser of 24 ft. or height of roof form of primary structure,24,"25,28,30,35",agree,no,,,maximum height (lesser of 24 feet or the primary structure's roof-form height) for an accessory structure,"The row is explicitly under 'Accessory Structure' in the table, so it governs a secondary building, not the primary dwelling."
00019,or/clackamas/lake-oswego,max_height_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,252,50.04.001.1,same_field,2,"[Cross-References: Height Limitation: see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas; Height Measure: see LOC § 50.04.003.4, General Exception to Structure Height",50,"25,28,30,35",missed,yes,50,maximum building height,"cross-reference noting a citywide 50-foot maximum building height for structures in residential areas, set by City Chart","""see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas"" states a real, generally applicable number for residential structures; this building is residential, so the charter cap would still have to be met even though the zone table's own figures are lower."
00020,or/clackamas/lake-oswego,max_height_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,300,50.04.001.1,same_field,1,"An accessory structure = 18 ft. in height shall not exceed a total 800 sq. ft. in size, or the square footage of the footprint of the primary structure, whichever is less. An accessory structure > 18",18,"25,28,30,35",agree,no,,,maximum size (800 or 600 sq ft depending on height) for accessory structures,"""An accessory structure...shall not exceed a total...sq. ft. in size"" governs a secondary structure, not the primary dwelling."
00021,or/clackamas/lake-oswego,setback_front_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,356,50.04.001.1,same_field,1,On steeply sloped lots the minimum required front yard setback for detached dwellings and middle housing shall be 18 ft.,18,"0,10,20,25",missed,yes,18,minimum front setback,minimum front yard setback (18 feet) for detached dwellings and middle housing on steeply sloped lots,"""the minimum required front yard setback for detached dwellings and middle housing shall be 18 ft."" -- Oregon's 'middle housing' category includes a fourplex, so this would apply wherever the lot is steeply sloped."
00022,or/clackamas/lake-oswego,max_height_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,617,50.04.001.2,same_field,1,"[Cross-Reference: Height Limitation: see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas; LOC § 50.04.003.4, General Exception to Structure Height Limitations; LOC § 5",50,"25,28,30,35",missed,yes,50,maximum building height,"cross-reference noting the same citywide 50-foot maximum building height for structures in residential areas, City Chart","Same charter-level height cap as the Residential Low Density table's cross-reference: ""see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas,"" applicable to this residential building."
00023,or/clackamas/lake-oswego,max_height_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,727,50.04.001.2,same_field,1,"An accessory structure ≤ 18 ft. in height shall not exceed a total of 800 sq. ft. in size or the square footage of the footprint of the primary structure, whichever is less. An accessory structure > 1",18,"25,28,30,35",agree,no,,,"maximum size (800 or 600 sq ft depending on height) for accessory structures in the R-6, R-5, and R-DD zones","""An accessory structure...shall not exceed a total of...sq. ft."" governs a secondary structure, not the primary dwelling."
00024,or/clackamas/lake-oswego,setback_front_ft,or/clackamas/lake-oswego/50.04.dimensional.txt,770,50.04.001-4,same_field,2,"On steeply sloped lots, the minimum required front yard setback for detached dwellings and middle housing shall be 18 ft.",18,"0,10,20,25",missed,yes,18,minimum front setback,"minimum front yard setback (18 feet) for detached dwellings and middle housing on steeply sloped lots, Table 50.04.001-4","""the minimum required front yard setback for detached dwellings and middle housing shall be 18 ft."" -- same middle-housing (fourplex-inclusive) steeply-sloped-lot standard as elsewhere in this jurisdiction's code."
00025,or/clackamas/milwaukie,min_lot_sqft,or/clackamas/milwaukie/19.300.base-zones.txt,480,19.302.4,same_field,1,"All other uses require a minimum lot size of 5,000 sq ft.",5000,"1500,3000",agree,no,,,"minimum lot size (5,000 sq ft) for uses in the R-HD zone not enumerated by the lot-size housing-type tiers listed just a","The preceding tiers already list Quadplex as permitted starting at the 3,000-4,999 sq ft tier; ""All other uses require a minimum lot size of 5,000 sq ft"" is the catch-all for uses not named in those tiers, so it does not set the quadplex's minimum lot size."
00026,or/clackamas/milwaukie,setback_front_ft,or/clackamas/milwaukie/19.300.base-zones.txt,514,19.302.4,same_field,1,"Table 19.302.4 is supplemented by Figure 19.302.4. For those properties identified in Figure 19.302.4, the minimum front yard setback is 5 ft.",5,20,missed,yes,5,minimum front yard setback,"front yard setback for properties identified on Figure 19.302.4, which supplements the general Table 19.302.4 developmen","""For those properties identified in Figure 19.302.4, the minimum front yard setback is 5 ft"" is stated as an actual minimum, not an optional exception, so a fourplex on one of those mapped properties would have to meet 5 ft instead of the table's usual 20 ft."
00027,or/clackamas/rivergrove,setback_front_ft,or/clackamas/rivergrove/rldo.composite.txt,1044,,same_field,1,Front Setback - 30 feet. Side Setback - 3 feet,"30,3",25,agree,no,,,front and side setbacks for new detached accessory buildings,"The marked line falls under ""(c) All new detached accessory buildings... shall maintain the following setbacks""; our fourplex is the primary structure, not a detached accessory building."
00028,or/clackamas/rivergrove,setback_street_side_ft,or/clackamas/rivergrove/rldo.composite.txt,1045,,same_field,1,Side Setback (corner lot) - 10 feet.,10,15,agree,no,,,corner-lot side setback for new detached accessory buildings,"Still under the ""(c) All new detached accessory buildings"" heading introduced two lines above, so this setback governs accessory structures, not the primary fourplex."
00029,or/clackamas/rivergrove,setback_rear_ft,or/clackamas/rivergrove/rldo.composite.txt,1046,,same_field,1,Rear Setback - 3 feet.,3,25,agree,no,,,rear setback for new detached accessory buildings,"Same accessory-building setback list introduced by ""(c) All new detached accessory buildings...""; does not govern the primary residential structure."
00030,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,2473,4,same_field,1,"ii. no structure, sign or any other object shall exceed 20 feet in height;",20,35,agree,no,,,"height limit (20 ft) on structures, signs, or objects erected under a temporary use permit","The line is condition ii. under ""Temporary use permits may allow specific activities... for up to 120 days provided that...""; it governs temporary-use-permit structures, not permanent new construction of a fourplex."
00031,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,3678,4,same_field,1,4. Building Height. The maximum building height for all structures is 25 feet.,25,35,agree,no,,,maximum building height (25 ft) for cottage cluster structures,"The heading is ""F. Standards applicable to Cottage Clusters""; a cottage cluster is explicitly a different, excluded building type from our fourplex."
00032,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,3783,4.113,same_field,1,b. The existing dwelling may be expanded up to a maximum height of 25 feet or a,25,35,agree,no,,,height/footprint limits on expansion of an existing single-family dwelling retained within a cottage cluster project,"The passage is under ""14. Existing Structures... an existing detached single-family detached dwelling on the same lot... may remain""; this concerns an existing detached house inside a cottage cluster project, not new construction of a fourplex."
00033,or/clackamas/wilsonville,min_lot_sqft,or/clackamas/wilsonville/4.planning.txt,4094,4,same_field,1,"A. Minimum Lot Size. 1,000 square feet for each unit.",1000,"1250,1500,7000,8000,20000",agree,no,,,"minimum lot size (1,000 sq ft per unit) for hotels or motels","The line is item A. under ""(.11) Hotels or Motels:""; hotels/motels are a different use than our residential fourplex."
00034,or/clackamas/wilsonville,min_frontage_ft,or/clackamas/wilsonville/4.planning.txt,4095,4,same_field,1,B. Minimum Street Frontage. 100 feet.,100,"20,30,35,40,80",agree,no,,,minimum street frontage (100 ft) for hotels or motels,"Still item B. under ""(.11) Hotels or Motels:"", so this governs hotel/motel development, not the fourplex."
00035,or/clackamas/wilsonville,setback_front_ft,or/clackamas/wilsonville/4.planning.txt,4096,4,same_field,1,"C. Front Yard Setback. 30 feet, unless located in the Old Town overlay zone, in which case",30,"12,15,20",agree,no,,,front yard setback (30 ft) for hotels or motels,"Item C. under ""(.11) Hotels or Motels:"" — a use different from our residential building."
00036,or/clackamas/wilsonville,setback_rear_ft,or/clackamas/wilsonville/4.planning.txt,4099,4,same_field,1,D. Minimum Rear Yard Setback. 30 feet.,30,"5,15,20",agree,no,,,rear yard setback (30 ft) for hotels or motels,"Item D. under the same ""(.11) Hotels or Motels:"" list."
00037,or/clackamas/wilsonville,setback_side_ft,or/clackamas/wilsonville/4.planning.txt,4100,4,same_field,1,E. Minimum Side Yard Setback. 24 feet.,24,"0,5,7,10",agree,no,,,side yard setback (24 ft) for hotels or motels,"Item E. under ""(.11) Hotels or Motels:"", not applicable to a residential fourplex."
00038,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,4564,4.113,same_field,2,exceeding a height of 20 feet; and,20,35,agree,no,,,maximum height (20 ft) for an ADU built over a detached garage in the OTR zone,"The passage is ""standards... shall apply to Accessory Dwelling Units (ADU's)... Over a detached garage...""; an ADU is explicitly a different, excluded building type from our fourplex."
00039,or/clackamas/wilsonville,min_frontage_ft,or/clackamas/wilsonville/4.planning.txt,4740,4.113,same_field,1,F . Lot frontage may be reduced to 24 feet when the lot fronts a cul-de-sac.,24,"20,30,35,40,80",agree,no,,,an optional reduction of minimum lot frontage to 24 ft for PDR-zone lots that front a cul-de-sac,"""Lot frontage may be reduced to 24 feet..."" is phrased as a permitted relaxation (""may""), not a mandatory number the building must meet — a developer could instead meet the standard frontage figure in the main table."
00040,or/clackamas/wilsonville,min_lot_sqft,or/clackamas/wilsonville/4.planning.txt,7245,4,same_field,1,"D. In R-5 sub-districts the minimum lot size for triplexes is 5,000 square feet.",5000,"1250,1500,7000,8000,20000",agree,no,,,"minimum lot size (5,000 sq ft) for triplexes in the R-5 sub-district","""D. In R-5 sub-districts the minimum lot size for triplexes is 5,000 square feet"" names triplexes specifically; our building is a quadplex (four units), a different housing type covered instead by note C just above it."
00041,or/clackamas/wilsonville,setback_side_ft,or/clackamas/wilsonville/4.planning.txt,7436,4,same_field,1,"F . For Urban Form Type 1 and 2, side setbacks may be reduced to either: (1) down to a minimum of 3.5 feet for",3.5,"0,5,7,10",agree,no,,,"an optional reduction of minimum side setbacks (to 3.5 ft, or 5% of building width) for Urban Form Type 1 and 2 building","""side setbacks may be reduced to..."" is a permissive allowance a developer may choose to take, not a number the building must meet."
00042,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,7982,4,same_field,1,Ground floor height minimum 12 ft.,12,35,agree,no,,,minimum ground floor height (12 ft) in the Commercial Main Street area of Frog Pond East,"This line is part of ""Table 23A. Commercial Main Street Development Standards,"" which ""appl[ies] to all development within the Commercial Main Street area"" — a commercial, storefront-oriented district; our fourplex has no commercial floor area and would not be sited there."
00043,or/clackamas/wilsonville,setback_front_ft,or/clackamas/wilsonville/4.planning.txt,10013,4,same_field,1,"Front Setback 30 feet, minimum, except",30,"12,15,20",agree,no,,,"front setback (30 ft min/max) standard in Table CC-4: Building Design, an urban design standard tied to street-facing bu","Table CC-4 sits under §4.134, the same section whose ""Coffee Creek Industrial Design Overlay District"" is referenced elsewhere in this code; the ""Addressing Streets/Supporting Streets"" building-design table governs that area's commercial/industrial-scale buildings, not a standalone residential fourplex."
00044,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,10028,4,same_field,1,height of 24 feet;,24,35,agree,no,,,a minimum 24 ft building height required only to qualify for an optional entrance projection into the front setback,"""may extend into the required front yard setback by 15 feet maximum provided that: a. It has a two-story massing with a minimum height of 24 feet"" is a condition of an optional bonus (the entrance projection) that a developer need not take, within the same Table CC-4."
00045,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,10049,4,same_field,1,"* The Ground Floor height shall measure 15 feet, minimum from finished floor to",15,35,agree,no,,,"minimum ground floor height (15 ft, or 17.5 ft to structural member) in Table CC-4's building design standards","Continues the same Table CC-4 building-design standard (§4.134) tied to the Coffee-Creek-referenced planned area, not applicable to a standalone residential fourplex."
00046,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,10054,4,same_field,1,a. For Buildings 30 feet in height (unless lower by adjustment):,30,35,agree,no,,,base/body/top massing proportions for buildings up to 30 ft tall in Table CC-4,"Same Table CC-4 architectural massing standard tied to the planned commercial/industrial area's building design code, not our residential fourplex."
00047,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,10059,4,same_field,1,b. For Buildings between 30 feet and 5 stories in height:,30,35,agree,no,,,base/body/top massing proportions for buildings between 30 ft and 5 stories tall in Table CC-4,"Same Table CC-4 standard; it also describes buildings taller than our approximately 26 ft, two-story fourplex."
00048,or/clackamas/wilsonville,setback_front_ft,or/clackamas/wilsonville/4.planning.txt,10402,4,same_field,1,C. Front Yard Setback. Thirty (30) feet. Structures on corner or through lots shall observe the,30,"12,15,20",agree,no,,,"front yard setback (30 ft) for ""Waysides"" development in the Planned Development Industrial zone","The heading ""Table CC-5: Waysides,"" together with the ""Planned Development Industrial—Regionally Significant Industrial Area"" section right after it, shows this governs a specific industrial-zone use (a wayside/travel facility), not our residential fourplex."
00049,or/clackamas/wilsonville,setback_side_ft,or/clackamas/wilsonville/4.planning.txt,10405,4,same_field,1,D. Rear and Side Yard Setback. Thirty (30) feet. Structures on corner or through lots shall,30,"0,5,7,10",agree,no,,,"rear and side yard setback (30 ft) for ""Waysides"" development in the Planned Development Industrial zone","Same ""Table CC-5: Waysides"" industrial-use standard as the preceding line; not applicable to a residential fourplex."
00050,or/clackamas/wilsonville,min_lot_sqft,or/clackamas/wilsonville/4.planning.txt,10982,4,same_field,1,"complies with section 4.137.2(.05), due to such things as a lot size less than 3,000 square feet,",3000,"1250,1500,7000,8000,20000",agree,no,,,discretionary physical-conditions criteria the Development Review Board may accept to grant an INCREASE to the maximum p,"This is one of the findings ('Physical conditions preclude development of the site... due to such things as a lot size less than 3,000 square feet') that lets the Board relax/raise the shade-point height limit; it is a discretionary favorable adjustment a developer may seek, not a requirement to satisfy."
00051,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,15443,4,same_field,1,C. Where a proposed development includes buildings larger than 24 feet in height or greater,24,35,agree,no,,,discretionary authority for the Planning Director or Development Review Board to require larger/more mature landscaping ,"""the Planning Director or the Development Review Board, as applicable, may require larger or more mature plant materials"" -- a discretionary landscaping-material standard, not a fixed dimensional requirement placed on the building itself."
00052,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,15448,4,same_field,1,"no more than 50 feet on center, to break up the length and height of the façade.",50,35,agree,no,,,"spacing of tree groups along long building walls (a landscaping/facade-planting rule, not a building dimension)","""building walls longer than 50 feet shall require tree groups located no more than 50 feet on center"" governs where trees are planted next to a facade, not a standard the building structure itself must meet."
00053,or/clackamas/wilsonville,min_lot_sqft,or/clackamas/wilsonville/4.planning.txt,15998,4.113,same_field,1,"1. Minimum Lot Area: 10,000 square feet.",10000,"1250,1500,7000,8000,20000",agree,no,,,minimum lot area for a conditionally-permitted church use in residential zones,"The line sits under ""(.04) Conditional Use Regulations—Churches"" / ""B. Condition Standards: 1. Minimum Lot Area: 10,000 square feet."" This applies only to churches, not a fourplex."
00054,or/clackamas/wilsonville,min_frontage_ft,or/clackamas/wilsonville/4.planning.txt,15999,4.113,same_field,1,2. Minimum Street Frontage: 100 feet.,100,"20,30,35,40,80",agree,no,,,minimum street frontage for a conditionally-permitted church use in residential zones,"Same church ""Condition Standards"" list: ""2. Minimum Street Frontage: 100 feet."" Church-specific, not applicable to a fourplex."
00055,or/clackamas/wilsonville,max_height_ft,or/clackamas/wilsonville/4.planning.txt,16001,4,same_field,1,4. Maximum Building Height: 50 feet.,50,35,agree,no,,,maximum building height for a conditionally-permitted church use in residential zones,"Same church ""Condition Standards"" list: ""4. Maximum Building Height: 50 feet."" This governs churches under a conditional use permit, not our residential fourplex."
00056,or/clackamas/wilsonville,min_frontage_ft,or/clackamas/wilsonville/4.planning.txt,16040,4,same_field,1,4. Minimum Street Frontage: 100 feet.,100,"20,30,35,40,80",agree,no,,,minimum street frontage for a conditionally-permitted service station,"Listed under ""(.07) Conditional Use Regulations—Service Stations"" / ""C. Dimensional Standards: 4. Minimum Street Frontage: 100 feet."" A different use entirely from our building."
00057,or/clackamas/wilsonville,min_lot_sqft,or/clackamas/wilsonville/4.planning.txt,16042,4,same_field,1,"6. Minimum Lot Size: 12,000 square feet.",12000,"1250,1500,7000,8000,20000",agree,no,,,minimum lot size for a conditionally-permitted service station,"Same service-station dimensional standards list: ""6. Minimum Lot Size: 12,000 square feet."" Not applicable to our residential fourplex."
00058,or/multnomah/_unincorporated,max_height_ft,or/multnomah/_unincorporated/33.110.txt,664,33.110,same_field,1,d. Water collection cisterns that are 6 feet or less in height;,6,"25,30,35",agree,no,,,"minor building features, including water collection cisterns 6 feet or less in height, that are permitted to extend into","""The following minor features of a building may extend into the entire required building setbacks... Water collection cisterns that are 6 feet or less in height"" -- a permitted optional encroachment a developer may use, not something the building has to satisfy."
00059,or/multnomah/_unincorporated,max_height_ft,or/multnomah/_unincorporated/33.110.txt,695,33.110,same_field,1,"be reduced to 10 feet. However, the height limitations of subparagraph c. apply.",10,"25,30,35",agree,no,,,"optional reduced front setback for a dwelling on a steeply sloping lot, with an offsetting height limitation","""the front building setback for the dwelling may be reduced to 10 feet"" is a permissive exception a developer on a steep lot may choose to use, not a required minimum."
00060,or/multnomah/_unincorporated,max_height_ft,or/multnomah/_unincorporated/33.110.txt,2006,33.110,same_field,1,edges on street facing facades may extend up to 16 feet above the height limit. Other mechanical equipment,16,"25,30,35",agree,no,,,footnote to the Institutional Development Standards table allowing towers/spires and elevator mechanical equipment to ex,"""Elevator mechanical equipment that is set back at least 15 feet from all roof edges on street facing facades may extend up to 16 feet above the height limit."" This is a permitted exceedance for institutional buildings (churches/schools/etc.), not a requirement, and not our use."
00061,or/multnomah/_unincorporated,max_height_ft,or/multnomah/_unincorporated/33.110.txt,2009,33.110,same_field,1,to 10 feet above the height limit.,10,"25,30,35",agree,no,,,continuation of the institutional-standards footnote letting certain rooftop mechanical/stairwell enclosures extend abov,"""...may extend up to 10 feet above the height limit"" is a permitted allowance tied to the Institutional Development Standards table, not a requirement, and not applicable to a residential fourplex."
00062,or/multnomah/fairview,setback_rear_ft,or/multnomah/fairview/19.115.txt,73,19.115.040,same_field,1,b. Detached garages on lots abutting Fairview and Clear Creek shall have rear setbacks in compliance with the environmental setbacks of those creeks; 50 feet and 37.5 feet respectively. Minimum side y,"50,37.5","0,5,8,15",agree,no,,,"rear-setback standard for a detached garage specifically on a lot abutting Fairview or Clear Creek, matching the creek's","""Detached garages on lots abutting Fairview and Clear Creek shall have rear setbacks in compliance with the environmental setbacks of those creeks; 50 feet and 37.5 feet respectively."" This governs a detached accessory structure on a specific creek-abutting lot condition, not the main dwelling."
00063,or/multnomah/fairview,max_height_ft,or/multnomah/fairview/19.135.txt,78,19.135.030,same_field,1,"e. Awnings may extend up to four feet into a public right-of-way. Awnings shall have a minimum clearance of 7.0 feet and a maximum height of 12.5 feet. Awning covering material shall be metal, glass,","7,12.5","35,45",agree,no,,,optional design standard (clearance/height) for awnings that may be built projecting into the right-of-way in the VMU zo,"""Awnings may extend up to four feet into a public right-of-way. Awnings shall have a minimum clearance of 7.0 feet and a maximum height of 12.5 feet."" Awnings are an optional feature a developer may choose to add, not a required part of the building."
00064,or/multnomah/fairview,max_height_ft,or/multnomah/fairview/19.135.txt,80,19.135.030,same_field,1,"f. Buildings in the “four corners area” of the VMU zone (delineated in Figure V-1, following Chapter 19.155 FMC) shall have a minimum front facade height of 18 feet as measured from the finished stree",18,"35,45",agree,no,,,minimum front facade height plus a residential-floor placement restriction (residential limited to 2nd/3rd floor) for bu,"""Buildings in the 'four corners area' of the VMU zone... shall have a minimum front facade height of 18 feet... with residential uses restricted to the second and/or third floor."" This requires a non-residential ground floor in a small delineated sub-area, incompatible with our all-residential, ground-floor townhome design."
